매점명,지역,주소
논현언주역점,서울,"서울시 강남구 언주로 113길 22 1,2층"
판교대장점,,경기도 성남시 분당구 판교대장로 7길 10
가산YPP사옥점,,서울시 금천구 가산동 327-30
전북대학교병원,전라북도,전라북도 전주시 덕진구 건지로20 전북대학교병원본관 B1
여수웅천해변공원점,전라남도,"전라남도 여수시 웅천남6로11 (1,2층)"
명일역점,,서울시 강동구 천호동 24-2 (천호동 숨결타워)B1층~1층
논공휴게소(대구)점,대구,"대구광역시 달성군 논공읍 광주대구고속도로 170, 휴게소 1층, 논공휴게소 대구방향"
논공휴게소(광주)점,대구,"대구광역시 달성군 논공읍 광주대구고속도로 169, 휴게소 1층, 논공휴게소 광주방향"
영풍문고종각종로본점,서울,"서울시 종로구 청계천로 41, B2층(서린동, 영풍빌딩)"
남한강휴게소점,경기도,경기도 양평군 강상면 중부내륙고속도로 298
부산연산점,부산,"부산광역시 연지구 반송로 40, e편한세상 연산더퍼스트 102동 1층 101-102호"
대전신탄진DT점,대전,대전광역시 대덕구 신탄진로 504
속초중앙시장,강원도,강원도 속초시 중앙시장로87
인천공항T2라운지동편점,인천,인천시 중구 제2터미널대로 446 인천공항 제2여객터미널 면세구역 동편
기흥휴게소1호,경기도,경기 용인시 기흥구 공세로 173 기흥휴게소 내
기흥휴게소2호,경기,경기 용인시 기흥구 공세로 173 기흥휴게소 내
대전방동호수공원DI,대전,"대전광역시 유성구 성북로 84, 지상 2,3층(방동)"
충주휴게소(창원),충청북도,충북 충주시 중앙탑면 중부내륙고속도로 231
공주휴게소(대전방향),충청남도,충남 공주시 당진영덕고속도로 72
공주휴게소(당진방향),충청남도,충남 공주시 의당면 당진영덕고속도로 71
망향휴게소,충청남도,충남 천안시 서북구 성거읍 돌다리길 23-37
외동휴게소 포항방향,경상북도,경북 경주시 외동읍 상석길 58-7
충남금산점,충청남도,충남 금산군 금산읍 비단로 404
서초악기거리점,서울,서울 서초구 남부순환로317길 79
부산명지DI점,부산,"부산광역시 강서구 르노삼성대로 638-10 1,2층(명지동)"
변산해수욕장,전라북도,전라북도 부안군 변산면 변산대로 2120-22
서대구센트럴자이점,대구,"대구 서구 고성로 33, 405동 1층 114호"
익산모현점,전라북도,전북 익산시 모현동1가 836번지 1층
센트로양재,서울,"서울 서초구 강남대로241 1,2층"
여수선소대교점,전라남도,"전라남도 여수시 소호1길38 106,107"
파주운정점,경기도,"경기도 파주시 목동동 937-2 , 명품프라자 2, 206호"
마포광흥창점,서울,"서울시 마포구 토정로 195, 지하1층, 지상1층"
정읍수성점,전라북도,전라북도 정읍시 수성동 1023-6번지
경상국립대병원점,경상남도,"경상남도 진주시 강남로 79, 경상대학교병원 행정동 1층 일부 (칠암동)"
이천송정DI점,경기도,경기도 이천시 증신로 342-31 1층( 송정동)
라페스타점,경기도,"경기도 고양시 일산동구 중앙로1275번길 60-14, 고일프라자 1층"
제주대병원점,제주도,제주시 아란13길 15 1층
국방부 본관점,서울,서울시 용산구 이태원로22 국방부 본관 10층
충주휴게소(양평),충청북도,충청북도 충주시 중앙탑면 중부내륙고속도로 230
부산해운대장산역점,부산,"부산광역시 해운대구 해운대로 793 (좌동, 해운대자생한방병원)1층 102호"
양주옥정점,경기,경기도 양주시 회천로 84
송천파인트리몰점,전라북도,"전라북도 전주시 덕진구 송천중앙로 225, 송천파인트리몰 1층"
안양명학점,경기도,경기도 안양시 만안구 안양로 104 웨딩그룹위더스 1층
구미산동DI점,경상북도,"경상북도 구미시 산동읍 강동로 995, 1층 1동 1호"
화성향남점,경기도,"경기도 화성시 향남읍 발안로 68, 1층"
대전반석점,대전,대전 유성구 반석동로40번길 40 지상 1층
구미역점,경상북도,"경상북도 구미시 구미중앙로 13길 6 1,2층"
김포공항국제선점,서울,서울특별시 강서구 하늘길 38 3층
의정부고산지구점,경기도,경기도 의정부시 세석로 24
오창휴게소(상),,충청북도 청주시 청원구 오창읍 중부고속도로 20
문정르피에드점,서울,서울시 송파구 송파대로 141 르피에드
김포우리병원1층점,경기도,"경기도 김포시 감암로11, 김포우리병원 신관동 1층"
거제디큐브백화점,경상남도,"경상남도 거제시 장평로 12 (장평동, 디큐브백화점)"
익산약촌오거리점,전라북도,전라북도 익산시 약촌로162
대구침산중앙DI점,대구,대구시 북구 침산동 105-21
보령그랜드베이호텔점,충청남도,충청남도 보령시 터미널길 24-8
화성와우점,경기도,경기도 화성시 봉담읍 와우로 23-31
성주별고을체육공원점,경상북도,경북 성주군 성주읍 대황길 20
포항에스병원점,경상북도,"경상북도 포항시 남구 희망대로 352, 지하1층 (포항에스병원)"
홍천갈마DI,강원도,강원도 홍천군 홍천읍 갈마로58
송산포도휴게소점,경기도,경기도 화성시 송산면 평택시흥고속도로25
군산휴게소(서울방향)점,전라북도,전라북도 군산시 나포면 서해안고속도로 148
창원팔용점,경상남도,경상남도 창원시 의창구 팔용로 419
소마미술관점,서울,"서울시 송파구 위례성대로 51, 2층(서울올림픽미술관)"
대구신남네거리점,대구,"대구광역시 중구 달구벌대로 1999, 척탑병원 1층"
세종청사중앙동점,세종시특별자치시,"세종특별자치시 도움6로 42, 민원동-2동 1층"
대전중앙로점,대전,"대전광역시 중구 중앙로 126, 1층 (대흥동)"
세종다정중앙점,세종시특별자치시,세종특별시 다정중앙로 46
군산디오션시티점,전라북도,전북 군산시 조촌동 2-70
홈플러스아시아드점,부산,부산 연제구 거제동 1208 홈플러스
첨단종합병원점,광주,광주광역시 광산구 쌍암동 674-1
대청댐 DI,충청북도,충청북도 청주시 서원구 현도면 대청호반로4
구미인동점,경상북도,경북 구미시 진평동 61-1
구미선산DI점,경상북도,경북 구미시 선산읍 완전리6-1번지 외 9필지
부산비즈니스호텔,부산,부산광역시 부산진구 부전동 512-4
여주휴게소(인천방향),경기도,경기도 여주시 가남읍 본두리 870-1
대구월촌역점,대구,"대구광역시 달서구 송현로 38 1,2층"
에스프레소바 해운대엘시티점,부산,"부산광역시 해운대구 달맞이길 30 (중동, 엘시티)1030,1031호"
속초엑스포(베룸빡),강원도,강원도 속초시 청초호반로 56
평내호평역,경기도,경기도 남양주시 호평동 632-15
포천송우DI점,경기도,경기 포천시 소흘읍 송우로 101-11
충북옥천,충청북도,충북 옥천군 옥천읍 금구리42-18
인천테크노밸리점,인천,"인천광역시 부평구 주부토로 236, 인천 테크노밸리 u1센터 A동 1층 104호 외"
벌곡휴게소 논산방향,충청남도,충남 논산시 벌곡면 신양리475
언양휴게소 서울방향,울산,울산광역시 울주군 언양읍 반곡리898-9
강릉유천점,강원도,강원도 강릉시 선수촌로 64-4 1층(유천스파 1층)
양천목동점,서울,서울시 양천구 목동 42-107
센트로서울,서울,서울시 중구 한강대로 416 서울스퀘어 1층
공주상왕,충청남도,충청남도 공주시 창벽로 416
이화사거리,서울,서울특별시 종로구 대학로 47 1층
경기광주휴게소 원주방향,경기도,경기 광주시 곤지암읍 만삼로 270
