매점명,지역,주소
김포사우점,,"경기 김포시 사우동 924 제우스 프라자 109호, 110호 일부"
서울숲점,서울,서울 성동구 성수동1가 14-18
제주종합청사점,제주도,제주 제주시 도남동 694-3
대구봉무공원점,대구,대구 동구 봉무동 531-2번지
광주시청로점,광주,광주 서구 치평동 1231-3
울산혁신도시점,울산,울산 중구 종가6길 25
제주제원점,제주도,제주 제주시 연동 273-4
부산종합터미널점,부산,부산 금정구 중앙대로 2238 부산종합터미널
구미오태점,경상북도,경북 칠곡군 북삼읍 인평1리 1039-3번지
세종라온점,세종시특별자치시,"충남 연기군 조치원읍(세종시 도담동) 1-4생활권 라온프라이빗 시티1, 113호"
경북상주점,경상북도,경북 상주시 냉림동 363번지 외 2칠지
대구두류점,대구,대구 달서구 두류동 135-14번지 (대구 달구벌대로)
김해인제대점,경상남도,경남 김해시 삼방동  172-3 (김해시 활천로 255번길 4)
제주 노형로타리점,제주도,제주 제주시 다랑곶길 4번지
대구신서혁신도시점,대구,대구 동구 각산동 1080-2 (각산로 1080-2)
제주일도점,제주도,제주 제주시 일도2동 360-11
당진CGV점,충청남도,충남 당진시 읍내동 1532번지 외 3필지 당진CGV 1층
전남대점,광주,광주 북구 호동로 15 (용봉동 161-17)
목포석현점,전라남도,전남 목포시 석현동 1168-25 (옥암로 173)
대왕암공원점,울산,울산 동구 일산동 903-5 대왕암상가 5동 2호
서면솔라리아니스테츠호텔점,부산,부산 부산진구 부전동 233-16번지
청주수암골점,충청북도,충북 청주시 상당구 수동 91-2외 2필지
선정릉역점,서울,서울 강남구 논현동 254-16 성원빌딩 1층
동강병원점,울산,울산 중구 태화동 동강병원 123-3번지
분당KT계원점,경기도,경기 성남시 분당구 정자동 139-7
광주유스퀘어점,광주,광주 서구 광천동 유스퀘어 광천터미널
전주중화산점,전라북도,전북 전주시 완산구 중화산동 2가 770-1
구미봉곡점,경상북도,경상북도 구미시 봉곡동 297-7
장생포점,울산,울산광역시 남구 장생포고래로 257-1(매암동)  카페 파스쿠찌
부산남산점,부산,"부산시 금정구 금샘로 351 2,3층 (구서동)"
부산해운대점,부산,부산 해운대구 우동 618-18번지
제주이도점,제주도,제주 제주시 이도2동 1986-20 제비동 1층
교대메가스터디점,서울,서울 서초구 서초동 1671-2번지
서산호수공원점,충청남도,충남 서산시 읍내동 50-3 1층
제주 용담해안도로점,제주도,제주 제주시 용담3동 2319-1
광주황금점,광주,광주 동구 황금동 19-1
구월로데오점,인천,인천광역시 남동구 인하로489번길 28 (로데오프라자 201호)
울산성남점,울산,울산광역시 중구 성남동 191-27 2F
울산번영점,,울산 남구 달동 1356-12
상무DY점,광주,광주 서구 마륵동 162-7
춘천거두점,강원도,강원도 춘천시 동내면 거두리 1102-2
평택역점,경기도,"경기도 평택시 평택시 평택2로 19-2, 1층(평택동)"
안양예술공원점,경기도,경기도 안양시 만안구 석수동 825
의정부역점,경기도,경기도 의정부시 의정부동 493-3 웨딩팰리스 1층
뱅뱅사거리점,서울,서울시 서초구 서초동 1340-11번지 1층
익산 모현점,전라북도,전북 익산시 모현동 1가 836
여수여서점,전라남도,전남 여수시 여서동 220-5 향군회관 1층
거제장승포점,경상남도,경남 거제시 장승포동 701-6번지
대구동성로광장점,대구,"대구광역시 중구 동성로3가 67-1 1,2층"
울산구영점,울산,울산광역시 울주군 범서읍 구영리 395-5번지
구미금오산점,경상북도,경북 구미시 남통동 155
목포북항점,전라남도,전라남도 목포시 산정동 1768
대전청사점,대전,대전시 서구 월평동 236번지
에스프레소바 양재점,서울,서울시 서초구 남부순환로 2620 1층
종로2가점,서울,서울시 종로구 관수동 3-1
삼성역점,서울,서울시 강남구 삼성동 168-21 석광빌딩 1층
논현역점,서울,서울시 강남구 논현동 122-8 동화히스110호
부천소풍점,경기도,경기도 부천시 원미구 송내대로 239  (상동 소풍 2층 F01-2호)
포항중앙점,경상북도,경상북도 포항시 북구 대흥동 725
장미의거리점,전라남도,전라남도 목포시 상동 1003-1 1층
인천작전역점,인천,인천시 계양구 작전동 864-24 2층
대구수변공원점,대구,대구광역시 달서구 도원동 949-1
여수엑스포점,전라남도,전라남도 여수시 수정동 215-1
국악고점,서울,서울시 강남구 개포동 1197-2
금정역점,경기도,경기 군포시 산본동 26-5
광주광천점,광주,광주광역시 서구 죽봉대로 80 무등산타워 1층
울산달동점,,울산광역시 남구 달동 1394-14
오산대점,경기도,경기도 오산시 궐동 93-2 모터프라자1층
천안역점,,충청남도 천안시 동남구 대흥동 124-2 1~2
인천엠파크점,인천,인천 서구 가좌동 178-105 엠파크
동촌유원지점,대구,대구광역시 동구 효목동 1087-6
스마트시티점,대전,"대전시 유성구 도룡동 4-7 스마트시티 504동 121,122호"
서여의도점,서울,"서울 영등포구 여의도동 13 진미파라곤 1F 111호, 112호"
청주개신점,충청북도,충청북도 청주시 흥덕구 개신동 52-4
전주서신점,전라북도,전라북도 전주시 완산구 서신동 889-7
청주용암점,충청북도,충청북도 청주시 상당구 용암동 1635
오창호수공원점,충청북도,충북 청주시 청원구 오창읍 양청리 752-4번지
김해삼계점,경상남도,경남 김해시 삼계동 1453-6
수지성복점,경기도,경기도 용인시 수지구 성복동 401
울산세이브존,울산,울산광역시 남구 삼산동 1377-9
주안역점,인천,인천광역시 남구 주안로 116 (리가스퀘어 1층)
경산하양점,경상북도,경상북도 경산시 하양읍 금락리 116-358
디큐브아트센터점,서울,서울 구로구 신도림동 360-51 디큐브아트센터 7층
인천연수역점,인천,인천 연수구 청학동 499 푸르지오 102호
잠실역점,서울,서울 송파구 신천동 7-25 월드타워 1F
센트로서울대점,서울,서울특별시 관악구 관악로 1 서울대학교 111동
목포한국병원점,전라남도,전라남도 목포시 상동 148-1 목포한국병원 1층
광주풍암점,광주,"광주 서구 풍암동 1116 1,2층"
울산 일산테라스파크점,울산,"울산시 동구 일산동 945번지 테라스파크 A동 109,112,113호"
판교도서관점,경기도,경기도 성남시 분당구 판교동 605-7
양산점,경상남도,"경남 양산시 중부동 686-7 양산역프라자 109,110호"
보라매공원점,서울,서울시 영등포구 신길동 4327 1층 카페 파스쿠찌
가천대점,경기도,경기 성남시 수정구 복정동 경원대학교 캠퍼스 內 비전타워 103-2
부산역점,부산,부산 동구 초량3동 1187-1 부산역 2층 맞이방
레이킨스몰점,경기도,경기 고양시 일산구 대화동 2602번지  파스쿠찌 레이킨스몰점
영통구청점,경기도,경기 수원시 영통구 매탄동 1267-7 중앙프라자 1F 103호
화성동탄점,경기도,"경기도 화성시 반송동 93-2번지 에스알골드프라자 118,119호 파스쿠찌  화성동탄점"
포스코센터점,서울,서울시 강남구 대치동 891-43 MSA빌딩 1F
수원AK점,경기도,경기도 수원시 팔달구 덕영대로 924 수원역 3F(AK플라자)
센트로광안리점,부산,부산 수영구 광안해변로 241 (민락동) 카페 파스쿠찌 센트로광안리점 1~4층
센트로서면점,부산,"부산 진구 동천로 73 1층, 2층"
강변테크노마트점,서울,"서울시 광진구 광나루로56길 85, 지하1층 D-10호"
목포하당점,전라남도,전남 목포시 상동 889번지 파스쿠찌 목포하당점
