매점명,주소
완도중앙점,전남 완도군 완도읍 개포로 171 (가용리) 1층
안성두원공대점,"경기 안성시 죽산면 관음당길 51 (장원리, 두원공과대학교) 1층 더벤티 안성두원공대점"
구미삼성점,경북 구미시 진평2길 71 (진평동) 1층 더벤티 구미삼성점
광주소촌모아엘가점,"광주 광산구 소촌로 100 (소촌동, 소촌동 모아엘가) 109동 114호"
광진우체국점,"서울 광진구 강변역로 2 (구의동, 광진우체국) 1층 더벤티"
대전관평테크노밸리점,대전 유성구 테크노4로 29 (관평동) 1층 102호
원주시청점,"강원특별자치도 원주시 시청로 22 (무실동, 리젠트프라자) 104호"
송파가락점,서울 송파구 송이로 91 (가락동) 1층
언양교동점,울산 울주군 삼남읍 봉화로 19 (교동리) 1층
익산부송라온점,전북특별자치도 익산시 마한로 211 (부송동) 101호
익산평화하늘채점,"전북특별자치도 익산시 익산대로8길 9 (평화동, 익산역 하늘채 더 퍼스트) 지1층 6층"
롯데마트전주점,"전북특별자치도 전주시 완산구 우전로 240 (효자동2가, 롯데마트) 롯데마트 1층"
시흥디원시티점,경기 시흥시 시흥대로 490 (광석동) 디원시티마일스톤한라 B105호
도화초점,"인천 미추홀구 경인로246번길 5 (도화동, 버드나무아파트) 103호 더벤티 도화초점"
광주수완대방5차점,광주 광산구 장신로64번길 9-14 (장덕동) 1층 더벤티
대구고성점,"대구 북구 고성북로 34 (고성동3가, 오페라 트루엘 시민의 숲 아파트) 301동 105호"
천안불당점,"충남 천안시 서북구 검은들3길 52 (불당동, 드림프라자) 106호 더벤티 천안불당점"
순천선평삼거리점,전남 순천시 가곡동 5-5 1층
수성레이크점,대구 수성구 두산동 837-1 1~3층
아산배방삼성점,"충남 아산시 배방읍 배방로173번길 1 (북수리, 패밀리마트) 1층 102호"
완주삼례우석대점,전북특별자치도 완주군 삼례읍 동학로 104 (삼례리) 1층
부산온천점,부산 동래구 온천동 210-47 1층 더벤티 부산온천점
토성동서구청점,부산 서구 까치고개로 246 (토성동1가) 1층 101호
부천춘의역점,경기 부천시 원미구 부천로 229-7 (춘의동) 1층 일부호
별내로데오점,"경기 남양주시 별내중앙로 54 (별내동, 예스프라자프론티어) 1층 106호"
경주용황휴포레점,"경북 경주시 용황로7길 8 (용강동, 협성휴포레용황) 302동 403호"
고덕베네루체점,"서울 강동구 구천면로 640 (상일동, 고덕 롯데캐슬 베네루체(상가A동)) 109호"
수유역점,서울 강북구 오패산로 414 (번동) 1층 더벤티
쌍문초점,서울 도봉구 노해로 137 (쌍문동) 1층 더벤티
진천양우점,"충북 진천군 진천읍 농다리로 1431 (신정리, 양우내안애 해오르미) 상가동 102호"
사직삼거리점,부산 동래구 아시아드대로 183 (사직동) 1층 더벤티 사직삼거리점
홍성내포점,"충남 홍성군 홍북읍 청사로48번길 4 (신경리, 아이프라자) 101호"
의정부중앙역점,경기 의정부시 호국로 1308 (의정부동) 1층 더벤티
이마트안산고잔점,"경기 안산시 단원구 원포공원1로 46 (초지동, 이마트) 3층 3110호"
대전대점,대전 동구 대학로 62-10 (용운동) 1층
횡성둔내점,강원특별자치도 횡성군 둔내면 둔방내리 88-7 1층 더벤티 횡성둔내점
서초교대점,"서울 서초구 사임당로17길 68 (서초동, 서초빌딩) 1층 4호"
화정로데오점,"경기 고양시 덕양구 화신로260번길 37 (화정동, 진솔그린프라자) 102호"
김제금구점,전북특별자치도 김제시 금구면 봉두로 76 (금구리) 1층
익산동산점,전북특별자치도 익산시 동천로 81-21 (동산동) 1층
익산팔봉점,전북특별자치도 익산시 무왕로 1332 (팔봉동) 1층
대전월평점,대전 서구 대덕대로 325 (월평동) 스타게이트 1층 65호
천안쌍용점,"충남 천안시 서북구 월봉로 128 (쌍용동, 知&美빌딩) 1층"
광양중마점,전남 광양시 광장로 139-1 (중동) 1층
선릉역점,"서울 강남구 테헤란로 327 (역삼동, 빅토리아오피스텔) 101-b호"
