매점명,주소
대전가수원CGV점,"대전 서구 도안동로11번길 45 (도안동, KD U PLAZA) 121호"
안양호계점,경기 안양시 동안구 경수대로 550 (호계동) 1층 101호
경북청송점,경북 청송군 진보면 진안리 121-1 1층
구로대륭포스트8차점,서울 구로구 디지털로26길 43 (구로동) 106호
전주에코포레나점,"전북특별자치도 전주시 덕진구 세병로 21 (송천동2가, 포레나 전주에코시티) 1층 B-104호"
전북고창점,전북특별자치도 고창군 고창읍 중앙로 313 (교촌리) 1층
덕소라온프라이빗점,"경기 남양주시 와부읍 덕소로 127 (덕소리, 덕소 강변 라온프라이빗아파트) 상가동 106호"
여수진남시장점,전남 여수시 흥국로 11 (학동) 1층
인천숭의점,인천 미추홀구 인주대로 68 (용현동) 예승프라자 1층 103호
광주흑석점,광주 광산구 흑석동 597 1층 103호
간석올리브점,인천 남동구 석산로 157 (간석동) 105호
신내역시티프라디움점,"서울 중랑구 용마산로 670 (망우동, 신내역 프라디움 더 테라스) C142호"
목동깨비시장점,서울 양천구 목동 615-1 1층 108호
미사역점,"경기 하남시 미사강변동로 81 (망월동, 미사역 큐브앤 타워) 미사역 큐브앤 타워 1층 105호"
방이시장점,서울 송파구 방이동 145-35 103호
일산장항공단점,경기 고양시 일산동구 장항로 233 (장항동) 1층
파주산내마을점,경기 파주시 교하로 79 (목동동) 104호
안산고잔포레나점,"경기 안산시 단원구 고잔동 631-3 상가 107호,108호"
강원영월점,강원특별자치도 영월군 영월읍 중앙로 28-3 (영흥리) 1층
구미봉곡점,경북 구미시 봉곡남로 116 (봉곡동) 1층
안산식물원사거리점,경기 안산시 상록구 도매시장로 87 (일동) 1층
김천아포점,경북 김천시 아포읍 한지2길 30 (국사리) 1층
여수신기점,전남 여수시 신기남길 34 (신기동) 102호 1층
아산용화점,충남 아산시 용화동 623 1층
구로삼성IT밸리점,"서울 구로구 디지털로33길 27 (구로동, 삼성IT밸리) 1층 107-2호"
송파역점,서울 송파구 송파대로38길 2-5 (송파동) 104호
부산연제레이카운티점,부산 연제구 아시아드대로 39 (거제동) 상가동 1층 150호
광주경안중앙점,"경기 광주시 경안로 13-1 (경안동, 경안빌딩) 1층"
전남곡성점,전남 곡성군 곡성읍 군청로 11 (읍내리) 1층
구미문성점,경북 구미시 고아읍 문성리 1854 1층
가산KS타워점,서울 금천구 벚꽃로36길 30 (가산동) 1층 101호
인천예술회관점,인천 남동구 구월동 1371-3 1층
김해외동점,"경남 김해시 함박로 121 (외동, 덕산아파트상가) 207동 108호"
아산탕정시티점,충남 아산시 탕정면 용머리길 40 (용두리) 2동 101호
목포용해이로점,전남 목포시 송림로 73 (용해동) 1층
마산중리점,"경남 창원시 마산회원구 내서읍 중리상곡로 90 (중리, 태산프라자) 1층 106호"
인천청천초점,"인천 부평구 산청로 97 (청천동, e편한세상부평그랑힐스) 8동 1층 808호"
인천법원점,"인천 미추홀구 학익동 244-33 101,102호"
올림픽공원역점,"서울 송파구 양재대로 1222 (방이동, 올림픽프라자) 1층 202호"
화곡중앙점,서울 강서구 화곡로 116 (화곡동) 1층
외대역점,서울 동대문구 휘경로 17 (이문동) 1층
안산반월공단점,"경기 안산시 단원구 풍전로 37-9 (원곡동, 트리플렉스) 301동 1층 111호"
광교풍경채어바니티점,경기 용인시 기흥구 영덕동 751-3 광교풍경채어바니티 상가3동 D122호
동해동회점,강원특별자치도 동해시 효자남길 40 (동회동) 1층 101호
한남오거리점,서울 성북구 대사관로 80 (성북동) 1층
서울시청점,"서울 중구 남대문로9길 40 (다동, 센터플레이스(Center Place)) 센터플레이스 1층 101-1호"
전주안골점,전북 전주시 덕진구 인후동1가 756-18 1층
아산탕정호반써밋점,"충남 아산시 탕정면 갈산샛들로 57 (갈산리, 호반써밋 그랜드마크 Ⅰ(1차)) 단지내상가 109호"
인천용현금호점,인천 미추홀구 매소홀로 63 (용현동) 1층 105호
고덕비즈밸리점,서울 강동구 고덕동 343-2 A-129호
광주금남롯데점,광주 동구 제봉로 221-31 (대인동) 1층 104호
용인양지점,경기 용인시 처인구 양지면 양지로 115 (양지리) 1층
공릉역점,서울 노원구 공릉동 383-7 1층
경북봉화점,경북 봉화군 봉화읍 봉화로 1186 (내성리) 1층
병점역점,경기 화성시 병점노을4로 29 (병점동) 104호
주안힐스테이트푸르지오점,인천 미추홀구 주안동 1452-2 116호
포항시청점,경북 포항시 남구 대이로 56 (대잠동) 102호
해남구교점,전남 해남군 해남읍 구교3길 16 (구교리) 1층 102호
배곧성당점,"경기 시흥시 배곧5로 66-7 (배곧동, 더 프리미엄 타워) 1층"
포항청하점,경북 포항시 북구 청하면 청하로 186 (미남리) 1층
한국산업안전보건공단점,울산 중구 종가로 400 (성안동) 한국산업안전보건공단 본부/교육/연구동 1층
대구경대해링턴점,"대구 동구 경대로 126 (신암동, 해링턴플레이스동대구아파트) 308동 1층 6호"
칠곡관음점,대구 북구 칠곡중앙대로 457 (관음동) 1층 103호
강릉금학점,강원특별자치도 강릉시 신대학길 44 (금학동) 1층
안산사동중앙점,"경기 안산시 상록구 항가울로 28 (사동, e편한세상 상록) 102동 103호"
옥정신도시점,경기 양주시 옥정서로 221 (옥정동) 한길메디프라자 101호 1층
진접광릉점,"경기 남양주시 진접읍 광릉내로 107 (팔야리, 선진상운수매점) 1층"
보령시청점,충남 보령시 명천로3길 20 (명천동) 1층
미아롯데점,"서울 강북구 미아동 860-296 ,"
여수덕양점,전남 여수시 소라면 덕양로 374 (덕양리) 1층
광주매곡점,광주 북구 매곡동 214-16 상가동 104호
롯데마트서울역점,"서울 중구 한강대로 405 (봉래동2가, 경부고속철도서울민자역사) 2층"
검암로열파크2단지점,"인천 서구 한들로 73 (백석동, 검암역로열파크씨티푸르지오2단지) 1층"
구미사곡역점,경북 구미시 상사서로 176 (사곡동) 1층
시흥능곡점,"경기 시흥시 장현능곡로 178 (능곡동, 능곡타운) 능곡타운 107호"
논산건양대점,충남 논산시 시민로132번길 48 (내동) 116호
대구테크노폴리스점,대구 달성군 현풍읍 테크노상업로2길 10 (중리) 1층 106호
울산과학대학교동부캠퍼스점,"울산 동구 봉수로 101 (화정동, 울산과학대학동부캠퍼스) 제1대학관 학생식당 제2층"
천안불당초점,"충남 천안시 서북구 불당4로 39-24 (불당동, 김밥천국) 1동, 1층"
광주첨단비아고점,"광주 광산구 첨단중앙로181번길 42-25 (월계동, 첨단 선경아파트) 상가1층"
인천완정점,"인천 서구 완정로 8 (마전동, 영진빌딩) 1층"
센텀점,"부산 해운대구 센텀중앙로 60 (우동, 퍼스트인센텀) 1층 102호"
평택안중점,"경기 평택시 안중읍 안현로서8길 57 (현화리, 붐붐프라자) 112호"
인천남촌점,"인천 남동구 호구포로535번길 39 (남촌동, 대성테크노) 1층 102호"
울산무거위브자이점,"울산 남구 북부순환도로 35 (무거동, 무거위브자이) 701동 101호"
하남덕풍점,경기 하남시 덕풍동 381-6 1층
충북금왕점,충북 음성군 금왕읍 무극로 279 (무극리) 1층
신도림이편한점,"서울 구로구 경인로59길 7 (신도림동, 신도림6차e-편한세상) 제상가동 제1층 제109호"
신용산역점,"서울 용산구 한강대로 95 (한강로2가, 래미안용산 더 센트럴) 지하1층 B145호"
창녕남지점,경남 창녕군 남지읍 낙동로 490 (남지리) 1층
김포장기중점,경기 김포시 청송로 8 (장기동) 1동 105호
전주장승로점,전북 전주시 완산구 장승배기로 261 (평화동1가) 1층
오목천역점,경기 수원시 권선구 삼천병마로1566번길 11 (오목천동) 1층 102호
남원한빛중점,전북 남원시 오들로 46 (월락동) 1층
구로우림이비지2차점,"서울 구로구 디지털로33길 12 (구로동, 우림이비지센터2차) 110호"
문경시청점,"경북 문경시 당교로 233 (모전동, 문경 브리티시) 1층 101호"
대전복합터미널점,"대전 동구 동서대로 1689 (용전동, 대전복합터미널(서관)) 1층 EW107호"
고양행신점,"경기 고양시 덕양구 중앙로557번길 11 (행신동, 삼정플라자) 1층"
제주서귀포점,제주특별자치도 서귀포시 중앙로 38 (서귀동) 1층
서울중계초점,"서울 노원구 한글비석로 363 (중계동, 삼정빌딩) 1층"
충무로점,"서울 중구 충무로 13 (충무로3가, 엘크루 메트로시티) 1층 101호"
가산모비우스점,서울 금천구 가산디지털2로 169-23 (가산동) 109-4호
대구만촌점,"대구 수성구 청호로 490 (만촌동, 해링턴플레이스 만촌) 상가동 120호"
충주시청점,"충북 충주시 국원대로 189 (금릉동, 충주클리닉빌딩) 101호"
광주금호이지더원점,광주 서구 화개중앙로 115 (금호동) 1층
성북천점,서울 동대문구 한빛로 40 (신설동) 1층
인천동양점,"인천 계양구 양지로 32 (동양동, 이조빌딩) 101호"
전주송천센트럴파크점,"전북 전주시 덕진구 송천로 1 (송천동1가, 송천동센트럴파크아파트) 1층 2-125호"
광주대점,광주 남구 효덕로 286 (진월동) 1층
전주아중노동청사점,전북 전주시 덕진구 건산로 274 (인후동1가) 1층
대구황금캐슬점,"대구 수성구 청수로 261 (황금동, 캐슬골드파크 4단지) 1층 108호"
용현SK뷰점,"인천 미추홀구 용정공원로 33 (용현동, 인천 SK Sky VIEW) 제비동 1층 107,108호"
전남도청점,전남 무안군 삼향읍 남악3로82번길 35 (남악리) 1층
양주옥빛점,경기 양주시 옥정로 152 (옥정동) 가하프라자 108호
광주월계점,광주 광산구 월계로 112 (월계동) 1층
쌍문역점,서울 도봉구 쌍문동 88-21 1층
부산사직점,부산 동래구 사직북로 21 (사직동) 1층
도봉보건소사거리점,서울 도봉구 도봉로 586 (창동) 1층
제주세화점,제주특별자치도 제주시 구좌읍 구좌로 50 (세화리) 1층
구미산동점,경북 구미시 산동읍 동백로 6 (적림리) 1층
광주방림점,"광주광역시 남구 용대로 132 (봉선동, 명지아파트) 1층"
안양박달시장점,경기 안양시 만안구 양화로135번길 5 (박달동) 1층
금호점,"서울 성동구 장터길 24 (금호동4가, 설당빌딩) 1층 101호"
완주봉동중앙점,전북 완주군 봉동읍 봉동로 158 (장기리) 1층 102호
구미선산점,경북 구미시 선산읍 남문로 56 (동부리) 1층
남위례역점,경기 성남시 수정구 창곡동 562 1층
대구성서점,"대구 달서구 이곡공원로 33 (이곡동, 성서동서화성타운) 107동 1층 103호"
송내현대점,경기 부천시 성주로 80 (송내동) 1층 일부호
구미인의점,경북 구미시 인의동 688-6 동산빌딩 1층
순천왕지점,"전남 순천시 왕궁길 4 (조례동, 안경나라) 1층"
종로5가점,"서울 종로구 종로31길 34 (연지동, 연지빌딩) 1층"
루원대성베르힐2차점,"인천 서구 서곶로 50 (가정동, 루원시티 대성베르힐 더 센트로) 판매4동 B240호"
구리갈매아너시티점,"경기 구리시 갈매순환로166번길 45 (갈매동, 구리갈매 아너시티) 107호"
구미3공단점,"경북 구미시 3공단1로 284 (임수동, 태영빌딩) 1층"
대전법원점,"대전 서구 둔산중로 66 (둔산동, 메트로팰리스) 1층 114호"
광주농성역점,광주 서구 죽봉대로 15 (화정동) 1층
영암삼호점,전남 영암군 삼호읍 대불주거로 161-1 (용앙리) 더벤티 영암삼호점
연신내역사거리점,서울 은평구 연서로 230 (대조동) 1층
강서고점,서울 양천구 목동중앙남로 24-1 (목동) 1층
잠실파크리오점,"서울 송파구 올림픽로35길 10 (신천동, 파크리오) B동 146호"
대전둔산타임월드점,"대전 서구 둔산로 14 (둔산동, 그린코아) 1층 106,110호"
천안신방점,"충남 천안시 동남구 수곡로 67 (신방동, 충무랜드) 1층 101호"
창원신월점,"경남 창원시 성산구 상남로202번길 40 (신월동, 새달상가) 신월동근린생활시설 1층 102호"
보라매타운점,"서울 동작구 보라매로5가길 7 (신대방동, 캐릭터 그린빌) 108-2호"
효자탑마트점,전북 전주시 완산구 거마평로 197 (효자동1가) 1층 일부호
구로이앤씨6차점,"서울 구로구 디지털로31길 41 (구로동, 이앤씨벤처드림타워6차) 1층 111호, 111-1호"
포항효자시장점,경북 포항시 남구 효자동길 2 (효자동) 다온 101호
원주문막점,강원 원주시 문막읍 건등리 1700-5 1층
전주금암기린대로점,전북 전주시 덕진구 기린대로 408 (금암동) 1층 104호
시흥거모점,"경기 시흥시 도일로 143 (거모동, 미래치과) 1층 일부호"
구미문화예술회관점,경북 구미시 백산로 145 (송정동) 상가동 104호
녹번역힐스테이트점,서울 은평구 녹번동 282 상가A동 지하3층 103호
남양주평내점,경기 남양주시 평내동 578-3 107호
홍제역점,"서울 서대문구 통일로 472 (홍제동, 효신빌딩) 1층"
전주휴먼시아점,전북 전주시 완산구 호암로 19 (효자동2가) 1층 104호
김천혁신도시점,경북 김천시 혁신4로 59 (율곡동) 1층
광주하남3지구점,광주 광산구 고봉로 67 (하남동) 1층
제천중앙점,충북 제천시 중앙로1가 113-4 1층
마포트라팰리스점,"서울 마포구 마포대로 53 (도화동, 마포트라팰리스) 마포트라팰리스 119호"
부천원종초점,"경기 부천시 소사로 701 (원종동, 성산빌딩) 1층"
대모산입구역점,"서울 강남구 개포로 615 (개포동, 석탑프라자) 석탑프라자 지상1층 104호"
포항남구청점,경북 포항시 남구 대도동 169-29 1층
롯데마트춘천점,"강원 춘천시 방송길 84 (온의동, 롯데마트) 1층"
양산범어점,"경남 양산시 물금읍 삽량로 30 (범어리, 디온플레이스) 더벤티 양산범어점"
전주KBS점,전북 전주시 완산구 마전들로 74 (효자동3가) 1층
인천마전점,"인천 서구 완정로 43 (마전동, 마전프라자) 1층 103호"
광주첨단비즈타워점,광주 북구 첨단연신로 45 (연제동) 첨단리채비즈타워지식산업센터 A-119호
익산어양점,"전북 익산시 궁동로 126 (부송동, 까투리) 1층 103호"
마포더클래시점,"서울 마포구 신촌로28길 8 (아현동, 마포 더 클래시) 상가2동 14호"
인천남동공단점,인천 남동구 고잔동 172-2 1층
대구다사역점,대구 달성군 다사읍 다사로 71 (매곡리) 다사역 금호어울림센트럴 701동 B106호
동탄삼성반도체점,"경기 화성시 삼성1로 160 (석우동, 디지털스테이션) 1층 106호"
여서로터리점,전남 여수시 여서로 174 (여서동) 1층
여수웅천지웰점,전남 여수시 예울마루로 43 (웅천동) 1층
화정힐스테이트점,광주 서구 화정로244번길 23 (화정동) 1층
세종아름점,"세종특별자치시 아름서1길 13-12 (아름동, 세종 제이디빌딩) 102호"
검단사거리점,인천 서구 검단로 486 (마전동) 1층
덕계역점,"경기 양주시 회천중앙로 248 (덕계동, 스타프라자) 113호"
전북대구정문점,전북 전주시 덕진구 권삼득로 333 (덕진동1가) 1층 107호
대구청라힐스자이점,"대구 중구 남산로 73 (남산동, 청라힐스자이) 302동 105호"
대전보건대점,대전 동구 충정로 22 (가양동) 1층
고양능곡점,경기 고양시 덕양구 지도로 96 (토당동) 1층
아현역점,서울 마포구 굴레방로 27 (아현동) 1층
구로코오롱싸이언스밸리점,"서울 구로구 디지털로34길 43 (구로동, 코오롱싸이언스밸리1차) 1층 106호"
광주일곡점,광주 북구 설죽로 505-9 (일곡동) 더벤티 광주일곡점
수락리버시티점,서울 노원구 상계동 1313-2 101호
울산구영점,"울산 울주군 범서읍 구영로 86 (구영리, GM프라자) GM프라자 201호"
일산어반스카이점,"경기 고양시 일산서구 고양대로 666 (일산동, e편한세상 일산 어반스카이) 상가동 C106호"
노원역점,서울 노원구 상계로 89 (상계동) 1층
전주객사점,전북 전주시 완산구 전주객사4길 44-29 (고사동) 1층
여수돌산점,전남 여수시 돌산읍 강남로 55 (우두리) 1층
한양대점,서울 성동구 행당동 4-33
완주군청점,"전북 완주군 용진읍 운곡4로 20 (운곡리) 상가동 B110,111호"
군산신역세권점,전북 군산시 내흥동 1017 상가 9호
광주하남2지구점,광주 광산구 하남대로54번안길 104-3 (하남동) 1층
가재울점,"서울 서대문구 수색로 100 (북가좌동, DMC 래미안 e편한세상)  2단지 상가 1층 4호 더벤티 가재울점"
부평SK뷰해모로점,"인천 부평구 동수천로 71 (부평동, 부평 SK VIEW 해모로 아파트) 1층 104호"
광주양산택지로점,광주 북구 본촌동 3004-3 1층
국회대로점,"서울 영등포구 국회대로 780 (여의도동, 엘지여의도에클라트) 1층 110호"
구리아름마을점,경기 구리시 동구릉로85번길 15 (인창동) 1층
남양주오남진주점,경기 남양주시 오남읍 오남리 202 1층
인천검단신도시점,"인천 서구 이음5로 30 (원당동, 연세프라자9) 112호"
중랑구청점,"서울 중랑구 신내로 82 (신내동, 금강프라자) 1층 104호"
의왕내손점,"경기 의왕시 갈미2로 40 (내손동) 캠퍼스프라자 1층 114,115"
나주빛가람병원점,전남 나주시 정보화길 40 (빛가람동) 1층
루원지웰시티점,"인천 서구 가정로 406 (가정동, 루원지웰시티푸르지오) c동 1층 101,102호"
대광리역점,"경기 연천군 신서면 연신로 1160 (도신리) ,"
전주근영여고점,전북 전주시 완산구 영경2길 14 (중화산동2가) 1층 (중화산동2가)
천안시청점,"충남 천안시 서북구 불당22대로 92 (불당동, 마블러스티타워) 1층 113호"
광주매월점,광주 서구 매월1로49번길 2 (매월동) 1층
광주첨단병원점,광주 광산구 첨단중앙로170번길 58 (쌍암동) 103호
포항죽도시장점,경북 포항시 북구 동빈로 1 (남빈동) 1층 103호
서울군자점,서울 광진구 군자로 141 (군자동) 1층
순천아랫장점,"전남 순천시 장평로 65 (인제동, 건봉빌딩) 1층"
나주빛가람점,전남 나주시 그린로 341 (빛가람동) 102호 (빛가람동)
운정반석프라자점,"경기 파주시 청석로 115 (동패동) 1층 118호 (동패동, 반석프라자)"
곤지암점,"경기 광주시 곤지암읍 평촌길 35-7 (삼리, 주은빌딩) 1층"
남천역점,부산 수영구 수영로384번길 6 (남천동) 1층
광주두암미라보점,광주 북구 면앙로 209 (두암동) 1층
구로힐스테이트점,서울 관악구 조원로 20 (신림동) 1층
안성석정점,경기 안성시 석정2길 18 (석정동) 1층
송도하버뷰점,"인천 연수구 해돋이로 168 (송도동, 혜인프라자) 106호"
연안부두점,"인천 중구 연안부두로 16 (항동7가, 해양센타) 1층 11호"
종암사거리점,서울 성북구 종암로 124 (종암동) 1층
구의역점,"서울 광진구 아차산로 379 (구의동, 송산빌딩) 1층 103호"
광주동천점,광주 서구 하남대로680번길 1 (동천동) 1층
괘법한신점,부산 사상구 운산로 33 (덕포동) 1층
시흥장곡점,경기 시흥시 장곡1로 15 (장곡동) 105호
전주금암점,"전북 전주시 덕진구 백제대로 649 (금암동, 본죽) 1층"
광주운남삼성점,광주 광산구 임방울대로 142-11 (운남동) 1층
진접역점,경기 남양주시 진접읍 해밀예당1로235번길 8 (금곡리) 1층
평택고덕파라곤점,"경기 평택시 고덕국제대로 180 (고덕동, 고덕국제신도시파라곤) 301동 1층 L105호"
전주힐스테이트어울림효자점,"전북 전주시 완산구 따박골로 12 (효자동1가, 힐스테이트어울림효자 상가) B동 101호"
기장대청점,부산 기장군 기장읍 대청로 22 (대라리) 1층
인천청천중앙점,인천 부평구 세월천로 42 (청천동) 1층 일부호
운정해오름마을점,"경기 파주시 청암로 82 (다율동, 운정신도시 푸르지오 파르세나) 근생1동 1층 123호"
등촌2동점,서울 강서구 등촌로 173 (등촌동) 1층 3호
수원대점,경기 화성시 봉담읍 와우리 38-23 1층
구미순천향네거리점,경북 구미시 1공단로 212 (공단동) 108호
진주신안스포츠타운점,경남 진주시 촉석로 5-1 (이현동) 1층
서일대점,"서울 중랑구 용마산로 424 (면목동, 신성모약국) 101호"
시흥장현중앙점,경기 시흥시 장현순환로 1 (장현동) 107호
구미원호점,"경북 구미시 고아읍 문장로26길 3 (원호리, 낙원프라자) 1층 111호"
광주수완아름마을점,광주 광산구 임방울대로 216 (신가동) 1층
고양지축점,"경기 고양시 덕양구 지축1로 65 (지축동, 로로프라자) 1층"
옥정듀클래스점,경기 양주시 옥정동 987-1 R110호
시민공원역점,"인천 미추홀구 경인로 372 (주안동, 포레나 미추홀) B1층 B1003호 더벤티 시민공원역점"
전주상산타운점,"전북 전주시 완산구 효자천변2길 14 (효자동1가, 상산타운) 4동 1층 103호"
영등포역점,"서울 영등포구 영중로 2 (영등포동3가) ,"
광주중앙여고점,광주 북구 금호로 95 (운암동) 101호
별내역아이파크점,경기 남양주시 별내동 1007-4 1층
대전둔산녹원점,"대전 서구 계룡로491번길 8 (둔산동, 갤러리빌4차) 104호"
목포용해점,전남 목포시 용해지구로 61 (연산동) 107호
광주오치점,광주 북구 서하로 179 (오치동) 1층
사가정아이파크점,"서울 중랑구 동일로92길 40 (면목동, 사가정 센트럴 아이파크) 1층 102호"
고양원흥점,"경기 고양시 덕양구 원흥3로 8 (원흥동) 108호,109호"
대구신암점,대구 동구 신암로 120 (신암동) 1층
인천신포점,인천 중구 제물량로 163-1 (사동) 1층
검단파라곤점,"인천 서구 이음2로 29 (당하동, 파라곤 센트럴파크) 103호"
나주영산포점,전남 나주시 영산3길 8-4 (영산동) 1~2층
장한평역점,서울 동대문구 장한로6길 4 (장안동) 1층 103호
상암DMC역점,"서울 마포구 성암로 207 (상암동, 상암빌라) 1층"
의정부탑석자이점,경기 의정부시 용현동 264-11 104호
광주첨단산월점,"광주 광산구 산월로 81 (산월동, 부영그린타운) 상가동 1층 107호"
순천가곡점,전남 순천시 원가곡2길 1 (가곡동) 1층
청주모충트릴로채점,충북 청주시 서원구 무심서로413번길 5 (모충동) 103호
구미공단점,"경북 구미시 1공단로5길 86-15 (공단동, 베스트웨스턴구미호텔) 1층"
청주지웰시티점,"충북 청주시 흥덕구 대농로 49 (복대동, 에스와이스타몰) A동 102호"
고척점,서울 구로구 고척동 269-5 1층
인천청라린점,"인천 서구 청라라임로 85 (청라동, 청라린스트라우스) B동 125호"
서대구IC점,대구 서구 북비산로 81 (이현동) 1층
포항선린점,경북 포항시 북구 대신로 46-2 (대신동) 1층
운정더테라스점,경기 파주시 가온로 200 (와동동) 근린생활시설동 109호
인천도화금강점,인천 미추홀구 염전로202번길 63 (도화동) 104호
완주삼봉지구점,전북 완주군 삼례읍 삼봉1로 2 (수계리) 109호
김포감정점,"경기 김포시 중봉1로 12 (감정동, 이삼메디칼센타) 1층 103호"
광주운남영천점,"광주 광산구 사암로340번길 43 (월곡동, 다우빌딩) 1층 102호"
부천원미점,"경기 부천시 원미로 123-5 (원미동, 미성플로체) 1층 101호"
기흥구청점,"경기 용인시 기흥구 구갈로60번길 19 (구갈동, 금강프라자) 104호"
전남영암점,전남 영암군 영암읍 군청로 2-30 (서남리) 1층
매탄시장점,경기 수원시 영통구 중부대로246번길 51 (매탄동) 1층
평택청북점,경기 평택시 청북읍 안청로2길 33-70 (옥길리) 114호
망우역점,서울 중랑구 망우동 479 한일씨너스빌리젠시1단지 S1011호
만수아주점,인천 남동구 만수로 84 (만수동) 103호 104호
부산범천점,부산 부산진구 골드테마길 69 (범천동)
광주무등산아이파크점,"광주 동구 남문로753번길 20 (학동, 무등산 아이파크) 상가A동 104호"
순천연동대주점,전남 순천시 태봉길 41 (조례동) 1층
오산대역점,경기 오산시 내삼미로 85 (수청동) 1층 102호
남양주마석점,"경기 남양주시 화도읍 맷돌로 110-13 (마석우리, 신명프라자) 101호"
시흥신천중앙점,경기 시흥시 신천동 833-2 1층
광주더샵염주점,광주 서구 월드컵4강로 27 (화정동) 상가동 지하116호
마천역점,서울 송파구 마천동 301-9 1층
강남대점,"경기 용인시 기흥구 강남동로 6 (구갈동, 그랜드프라자) 106호"
광주장덕중앙점,광주 광산구 장신로20번길 6 (장덕동) 1층
제주외도점,제주특별자치도 제주시 우정로4길 3-1 (외도일동) 1층
전주삼천흥건점,전북 전주시 완산구 삼천동1가 660-4 1층
인천청천점,인천 부평구 마장로 437 (청천동) 1층
대전복수점,대전 서구 복수동 618 1층
광주운천역점,광주 서구 상무대로 882 (쌍촌동) 1층 광주운천역점
정릉중앙점,"서울 성북구 서경로 77 (정릉동, 스마트빌) 1층 101호"
광주봉선점,"광주 남구 봉선로 158 (봉선동, 남양빌딩) 1층 105호"
초지역센트럴포레점,경기 안산시 단원구 화랑로 102 (원곡동) 상가1동 107호
화순전대병원점,전남 화순군 화순읍 서양로 307 (일심리) 1층
여수소호점,전남 여수시 소호로 469 (소호동) 1층
풍무푸르지오점,경기 김포시 풍무2로 31 (풍무동) 1층 101호
광주화정현대점,광주 서구 화정동 742-22 1층
광양사동로점,전남 광양시 구마8길 2 (중동) 1층
노원문화의거리점,"서울 노원구 노해로81길 5-6 (상계동, 노원스퀘어) 1층 102호"
광주하남점,광주 광산구 사암로216번길 16 (우산동) 1층
법환포구점,제주특별자치도 서귀포시 막숙포로 68 (법환동)
여수웅천포레나점,"전남 여수시 웅천남8로 23 (웅천동, 포레나 여수 웅천 2단지) 214동 103호"
고성교차로점,"제주특별자치도 서귀포시 성산읍 일출로 4 (고성리, 케이빌딩) 102호"
칠곡석적중리점,경북 칠곡군 석적읍 유학로 48 (중리)
동탄더퍼스트타워점,경기 화성시 동탄대로21길 10 (영천동) 더 퍼스트타워 1층 141호
수유시장점,서울 강북구 미아동 189-5
원주단관점,강원 원주시 단구로 370 (단구동) 1층 우측상가
공릉중앙점,서울 노원구 공릉로 149 (공릉동) 1층 103호
김포양곡점,경기 김포시 양촌읍 양곡2로80번길 68 (양곡리) 101호
송도마스터뷰점,"인천 연수구 컨벤시아대로274번길 55 (송도동, 송도 더샵 마스터뷰 21BL) 상가동 1층 4호"
광주금호마재점,"광주 서구 풍금로 171 (금호동, 평화빌딩) 1층"
인천신현원창점,인천 서구 원창로 180 (신현동) 1층 일부호
별내북부점,"경기 남양주시 별내3로 320 (별내동, 센트럴프라자) 1층 103호"
하계점,"서울 노원구 노원로 248 (하계동, 삼정 이오니아) 107호"
여수국동항점,전남 여수시 국포1로 47 (국동) 1층
광주신가점,광주 광산구 수등로 275 (신가동) 1층
부천원종역점,"경기 부천시 소사로 779 (원종동, 뉴월드프라자) 102호"
고양라몬테점,"경기 고양시 일산동구 연리지로 51 (장항동, 라몬테이탈리아노) 102호"
익산함열점,전북 익산시 함열읍 와리 548-15 1층
전주동산점,전북 전주시 덕진구 편운로 6 (여의동2가) 1층 102호
의정부시청점,경기 의정부시 둔야로45번길 51 (의정부동) 지상1층
진접반도유보라점,경기 남양주시 진접읍 해밀예당3로 126 (금곡리) 1층 105호
창원내동점,"경남 창원시 성산구 연덕로184번길 42 (내동, 현대상가) 내동 제 1층 105호"
안양비산점,"경기 안양시 동안구 관악대로106번길 77 (비산동, 비산롯데캐슬 상가동) 105호"
제주대학교점,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교) 제주대학교 아라뮤즈홀 4층"
미사테스타타워점,"경기 하남시 미사강변서로 25 (풍산동, 미사 테스타타워 지식산업센터) 1층 R105호"
순천동부청사점,전남 순천시 해룡면 신대로 8 (신대리) 1층 102호
완주봉동점,전북 완주군 봉동읍 완주산단8로 13 (둔산리)
진주법원점,경남 진주시 신안동 581-3 1층
광주금호점,"광주 서구 운천로 54 (금호동, 해광대덕 무지개아파트) 상가동 1층 2호"
대구이시아폴리스점,대구 동구 팔공로51길 31-6 (봉무동) B동 101(하층)호
남양주2청사점,경기 남양주시 다산지금로16번길 87 (다산동) 104호
석촌역점,"서울 송파구 백제고분로40길 4 (석촌동, 옥당빌딩) 더벤티 석촌역점"
산본점,"경기 군포시 산본로343번길 23 (산본동, 옥산빌딩) 옥산빌딩 1층 108호"
부평미주점,인천 부평구 부평문화로115번길 52 (부평동) 1층 104호
제주아라점,제주특별자치도 제주시 아라일동 6102
전주하가점,전북 전주시 덕진구 가련산로 10 (덕진동2가) 1층 104호
광주용봉점,광주 북구 비엔날레로 75 (용봉동) 1층
부천고강시장점,경기 부천시 고강동 318 1층
서귀포광진빌점,제주특별자치도 서귀포시 중산간동로 8066 (서홍동) 1층
개금시장점,"부산 부산진구 가야대로 470 (개금동, 아이사랑산부인과) 1층"
영종별빛광장점,인천 중구 하늘별빛로65번길 17 (중산동) 1층 102호
