매점명,주소
갤러리아 광교점,경기 수원시 영통구 광교중앙로 124 갤러리아 광교점 9층
스타필드 수원점,수원시 장안구 수성로 175 스타필드 수원 7층 잇토피아
수원컨트리클럽점,경기도 용인시 기흥구 중부대로 495 수원컨트리클럽 골프연습장 지하 1층
AK플라자 수원점,경기 수원시 팔달구 덕영대로 924AK플라자 수원점 지상 3층
송도 센트럴파크점,인천시 연수구 송도동 23-5 1층 폴 바셋
송도 트리플스트리트점,"인천시 연수구 송도과학로 16번길 33-3 C동 112호, 211호"
인천 송도 DT점,인천광역시 연수구 테크노파크로 107
용인시청 DT점,경기도 용인시 처인구 삼가동 198-15
롯데아울렛 기흥점,경기 용인시 기흥구 신고매로 124
롯데백화점 동탄점,경기 화성시 동탄역로 160 롯데백화점 동탄점 지하 1층
롯데아울렛 이천점,경기도 이천시 호법면 프리미엄아울렛로 177-74 본관 1층
인천공항 T1 입국점,공항로 272 제1여객터미널 1층
인천공항 T2 입국점,인천 중구 제2터미널대로 446 제2여객터미널 1층 서편
영종도 파라다이스시티점,"인천 중구 영종해안남로321번길 186 영종도 파라다이스시티 플라자 ,K101-1"
오산대 DT점,경기도 오산시 경기대로 464
인스파이어점,인천광역시 인천광역시 중구 운서동2955-74
스타필드 안성점,안성시 공도읍 서동대로 3930-39 스타필드안성점 2층 2300호
평택 소사 DT점,경기 평택시 소사5길 114
천안 성정 DT점,충청남도 천안시 서북구 동서대로 103
천안 구성 DT점,충청남도 천안시 동남구 천안대로 552
삼성전자 온양캠퍼스점,충남 아산시 배방읍 배방로 158 삼성전자 온양캠퍼스 정문동 2층
현대백화점 충청점,충청북도 청주시 흥덕구 직지대로 308 현대백화점 충청점 지하1층
청주 방서 DT점,충청북도 청주시 상당구 방서동 55-1
현대아울렛 대전점,대전 유성구 테크노중앙로 123 현대아울렛 대전점 1층
대전엑스포 스카이점(with 피자 일뽀르노),대전광역시 유성구 엑스포로 1 39F
갤러리아 타임월드점,대전광역시 서구 대덕대로 211 갤러리아 타임월드 11층
롯데백화점 대전점,대전광역시 서구 계룡로 598롯데백화점 대전점 1층
구미 봉곡 DT점,"경상북도 구미시 봉곡동 48-2, 48-9, 48-11, 48-12"
전주 금암DT점,전북 전주시 덕진구 기린대로 411
대구 감삼 DT점,대구광역시 달서구 감삼동65-2
롯데백화점 대구점,대구광역시 북구 칠성동 2가 302-155 롯데백화점 대구점 지하 2층
더현대 대구점,대구 중구 달구벌대로 2077 더현대 대구점 지하1층
대구 신세계백화점 2호점,대구시 동구 효신로 88 대구 신세계백화점 별관 6층
대구 신세계백화점 1호점,대구시 동구 동부로 149 대구 신세계백화점 본관 지하 1층
대구 만촌 DT점,대구광역시 수성구 만촌동 435-3
대구 방촌 DT점,대구광역시 동구 방촌동1084-201
대구 수성못점,대구광역시 수성구 두산동 652-3
고창 선운사점,전라북도 고창군 아산면 선운사로 232
경산 임당역 DT점,경상북도 경산시 중방동 35-7 폴 바셋
경산 옥곡 DT점,경상북도 경산시 옥곡동67-3
포항 영일대 DT점,포항시 경상북도 포항시 북구 삼호로 291
경주 교동 DT점,경상북도 경주시 교촌길 12
롯데아울렛 광주수완점,광주광역시 광산구 장신로 98 롯데아울렛 수완점 1층
신세계백화점 광주점,광주광역시 서구 무진대로 932 신세계백화점 광주점 지하 1층
롯데백화점 광주점,광주광역시 동구 독립로 268 롯데백화점 광주점
마산 회원 DT점,경남 창원시 마산회원구 3·15대로 506
마산 해안대로DT점,창원시 마산합포구 중앙동3가 4-281
롯데백화점 창원점,경남 창원시 성산구 상남로 121 롯데백화점 창원점 영프라자 지하 1층
현대백화점 울산점,울산광역시 남구 삼산로 261 현대백화점 울산점 1층
양산 웅상 DT점,양산시 주진동 131-22
롯데아울렛 김해점,경상남도 김해시 장유로 469 롯데아울렛 신관 1층
부산 금곡 강변점,부산 북구 금곡대로616번길 7-5
롯데아울렛 남악점,전라남도 전남 무안군 삼향읍 남악로 162번 80
부산 연산역점,부산광역시 연제구 중앙대로 1091 1F
롯데백화점 부산본점,부산시 부산진구 가야대로 772롯데백화점 부산본점 지하2층
부산 전포 DT점,부산광역시 부산진구 전포대로 248
신세계 센텀시티몰점,부산광역시 해운대구 센텀 4로 15(신세계 센텀시티몰점) 지하 2층
신세계백화점 센텀시티점,부산광역시 해운대구 센텀남대로 35 신세계센텀시티 9층
부산 괴정 DT점,부산광역시 사하구 낙동대로 169
롯데몰 동부산점,부산시 기장군 기장읍 기장해안로 147 롯데몰 동부산점 1층 F&B 코너
부산 대연 DT점,부산 남구 조각공원로 38
롯데백화점 광복점,부산광역시 중구 중앙대로 2 롯데백화점 광복점 B1
거제 아주 DT점,거제시 아주동 762-1
제주 용담DT점(with 피자 일뽀르노),제주특별자치도 제주시 서해안로 442-1
제주공항 국내선점,제주시 공항로 2 제주국제공항 국내선 3F
제주 아라DT점,제주시 아라이동 2436 폴 바셋
