지점명,주소
대전도안목원대점,대전 서구 도안북로93번길 20-5  (도안동)
개봉 푸르지오점,"서울 구로구 남부순환로 775  (개봉동, 개봉푸르지오) 상가 106동 101호"
제주 연동대야점,제주특별자치도 제주시 국기로 19  (연동)  1층
인천 구월점,"인천 남동구 인하로489번길 16  (구월동, 세동네오스) 103호"
일산 탄현점,경기 고양시 일산서구 일현로 65  (탄현동)
서울 방배서래점,서울 서초구 동광로 95  (방배동)
익산 모현점,전북 익산시 배산로 158  (모현동1가)
포항 초곡점,경북 포항시 북구 흥해읍 초곡지구로 123  (초곡리)
전남 도청점,전남 무안군 삼향읍 대죽서로 35  (남악리)
잠실 새내역점,서울 송파구 올림픽로12길 17  (잠실동)
창원 용지호수공원점,"경남 창원시 성산구 용지로169번길 13  (용호동, 라이크빌-1)  (용호동, 라이크빌-1)"
남양주 오남점,경기 남양주시 오남읍 진건오남로 529-1  (오남리)
양산물금점,경남 양산시 물금읍 백호2길 14  (가촌리)
경주 황성점,경북 경주시 황성로16번길 7  (황성동)
인천 도화점,"인천 미추홀구 숙골로87번길 2  (도화동, 센타프라자)"
시흥 목감역점,경기 시흥시 목감둘레로 253-35  (조남동)
용인 외대점,경기 용인시 처인구 모현읍 외대로 42  (왕산리)
세종해밀점,"세종특별자치시 해밀3로 32  (해밀동, 해밀마을1단지) 105동 117,118호"
대구 동천점,대구 북구 동천로 128  (동천동)
모란점,경기 성남시 중원구 둔촌대로 84  (성남동) 란프라임타워 107호
광명 하안점,"경기도 광명시 범안로 1041  (하안동, 삼성빌딩) 삼성빌딩 1층"
세종대평점,"세종특별자치시 갈매로 58  (대평동, 황산프라자)  (대평동, 황산프라자) 120호,121호"
향동점,경기 고양시 덕양구 향동동 524  센터프라자 113호
오시리아점,부산 기장군 기장읍 시랑리 717
당진 시곡점,충남 당진시 서해로 6260  (시곡동) B동
포항 이동점,경북 포항시 남구 대이로111번길 5  (대잠동) 111호
통영점,"경상남도 통영시 산양읍 삼칭이해안길 820  (영운리, 통영한산마리나호텔) 디저트39 통영점"
밀양삼문점,경남 밀양시 미리벌중앙로1길 19  (삼문동)  (삼문동) 1층
통영 죽림점,경상남도 통영시 광도면 죽림4로 19-10  (죽림리)
고덕역점,"서울 강동구 고덕로 266  (명일동, 고덕역 대명벨리온)"
고성점,경남 고성군 회화면 회진로 515  (봉동리)
군산 수송점,전북 군산시 수송로 204  (수송동)
나주 빛가람점,전남 나주시 배멧3길 5-4  (빛가람동)
전주혁신도시점,"전북 전주시 덕진구 기지로 77  (장동, 전북혁신도시 더 M city 센텀) (장동, 전북혁신도시 더 M city 센텀) 디방디엠시티 c-116호"
해운대점,부산 해운대구 해운대해변로357번길 17  (중동) 110호
공주 신관점,충남 공주시 신관로 69-31  (신관동) 1층
청주동남지구점,충북 청주시 상당구 중고개로141번길 13-21  (용암동) 스마트타운 110호
부평 청천점,"인천광역시 부평구 세월천로 47  (청천동, 대일빌딩)"
계양 작전역점,"인천 계양구 주부토로 417  (작전동, BS 빌딩)  1층"
일산 식사점,경기 고양시 일산동구 식사동 1587
의정부역점,"경기 의정부시 태평로 76  (의정부동, 미즘) 미즘빌딩 1층"
의왕 퍼스트힐점,경기 의왕시 신장승길 29  (삼동)
수진역점,경기 성남시 수정구 수진동 2206
인천대점,"인천 연수구 하모니로138번길 11  (송도동, 송도캐슬센트럴파크)"
인천 서창점,인천 남동구 서창남로 77  (서창동)  메인프라자 110호
전대점,광주 북구 호동로 12-8  (중흥동)
