지점명,주소
온수역점,서울 구로구 온수동 9-12
함양점,"경남 함양군 함양읍 고운로 83  (교산리, 한주상가) 107호"
강릉교동점,강원특별자치도 강릉시 솔올로5번길 18-6  (교동) 1층
대치중앙점,서울 강남구 삼성로 325  (대치동) 1층
시온성점,"전북특별자치도 완주군 봉동읍 과학로 979  (둔산리, 시온성주유소)"
운정로데오점,경기 파주시 경의로1240번길 14-31  (와동동) 1층 111호
부송점,전북특별자치도 익산시 궁동로 158  (부송동)
삼산점,경북 안동시 문화광장길 63  (삼산동)
양평J&J점,경기 양평군 양평읍 시민로 125  (공흥리)
보령중앙로점,충남 보령시 중앙로 187-31  (대천동)
사천점,경남 사천시 사남면 유천리 929  삼정그린코아 포레스트 후문 상가 143동 125호
평촌두산벤처다임점,"경기 안양시 동안구 흥안대로 415  (평촌동, 두산벤처다임) 동문 1층 137호"
군산영화점,전북특별자치도 군산시 구영5길 123  (영화동)
칠암캠퍼스점,경남 진주시 동진로 38  (칠암동) 102호
독립문문화공원점,서울 서대문구 통일로 203  (영천동) 1층
운정GTX점,"경기 파주시 청석로 115  (동패동) 114호, 115호"
청담점,서울 강남구 도산대로89길 3  (청담동) 1층
여수웅천점,"전남 여수시 웅천로 347  (웅천동, 새여수새마을금고 웅천사옥) 1층"
창원역점,"경남 창원시 의창구 사화로 16  (팔용동, 한창빌딩) 1층"
노원상계보람점,"서울 노원구 한글비석로 470  (상계동, 동서기업빌딩)"
연지초읍점,부산 부산진구 동평로235번길 23  (연지동) 1층
서울대벤처타운역점,서울 관악구 신림동 1536-16  1층
부산문현점,부산 남구 수영로 33  (문현동) 1층 105-1호 (문현동)
송도센트럴파크점,"인천 연수구 인천타워대로 257  (송도동, 송도 아트포레 푸르지오 시티) B-107,108호"
카카오판교아지트점,"경기 성남시 분당구 판교역로 166  (백현동, 카카오 판교 아지트) 1층 13번유닛 (백현동, 카카오판교아지트점)"
인천길병원점,"인천 남동구 남동대로777번길 9  (구월동, 룩소르주상복합아파트) 102호 103호(구월동)"
역삼팁스타운점,서울 강남구 역삼로19길 7  (역삼동) 유니콘빌딩 지상1층
서충주신도시점,충북 충주시 중앙탑면 원앙9길 18-1  (용전리) 1층 105호
홍제점,서울 서대문구 세무서길 69  (홍제동)
상계롯데캐슬점,"서울 노원구 덕릉로 753  (상계동, 노원 롯데캐슬 시그니처) 105동 1층 2-3호"
미아사거리역점,"서울 강북구 월계로 43  (미아동, 앨리스고홈빌딩) 1층"
순천중앙점,"전남 순천시 황금2길 10  (남내동, 소매점, 필라골프)"
전주삼천점,전북특별자치도 전주시 완산구 삼천동1가 597-9
백령도점,인천 옹진군 백령면 백령로 236  (진촌리)
마포월드컵북로점,"서울 마포구 월드컵북로 108  (성산동, 정인빌딩) 1층"
병점복합타운점,경기 화성시 병점노을7로 5  (진안동) 110호
영도동삼점,부산 영도구 절영로 473  (동삼동)
전북고창점,전북특별자치도 고창군 고창읍 중앙로 126  (읍내리) 1층
포이사거리점,"서울 강남구 개포로 202  (개포동, 석인빌딩) 102,103호"
부산시청점,부산 연제구 거제천로 110  (연산동)
용인둔전점,경기 용인시 처인구 포곡읍 포곡로108번길 13  (둔전리) 107호
구미상모점,경북 구미시 박정희로2길 10  (상모동) 1층
강릉종합운동장점,강원특별자치도 강릉시 춘갑봉길 12  (포남동)
화서역점,경기 수원시 팔달구 수성로157번길 1  (화서동) 1층
신방화역점,"서울 강서구 마곡중앙5로 81  (마곡동, 에스비타운) 115호"
원지터미널점,경남 산청군 신안면 하정리 630-6  1층
통영무전점,"경남 통영시 무전5길 3  (무전동, 현대자동차)"
평택역점,경기 평택시 평택로39번길 2  (평택동)
부산못골점,"부산 남구 못골번영로 6  (대연동, 못골대중사우나)"
영덕중앙점,경북 영덕군 영덕읍 중앙길 75  (덕곡리)
대구이시아폴리스점,"대구 동구 팔공로 259  (봉무동, 프라임빌딩) 1층 106호"
일산후곡점,경기 고양시 일산서구 일산로 550  (일산동) 1층
영등포구청점,서울 영등포구 당산로 128-1  (당산동3가)
sk하이닉스점,"경기 이천시 부발읍 경충대로 2106  (아미리, 현대시티프라자)"
인천더블유병원점,"인천 미추홀구 인주대로 400  (주안동, 인천W여성병원) 1층"
시흥정왕점,"경기 시흥시 중심상가2길 12-8  (정왕동, 정왕주차타운) 1층 102호"
제주화북점,제주특별자치도 제주시 일주동로 263  (화북일동) 1층
칠곡북삼점,경북 칠곡군 북삼읍 북삼로8길 5  (인평리)
안양수촌마을점,경기 안양시 동안구 관양동 1380-6
음성감곡점,충북 음성군 감곡면 장감로 132  (왕장리)
울산우정혁신점,울산 중구 종가6길 12  (우정동) 1층
중랑구청점,서울 중랑구 봉화산로 218  (신내동) 1층
신용산점,"서울 용산구 한강대로 95  (한강로2가, 래미안용산 더 센트럴) B223호"
경대동문점,"대구 동구 경대로 126  (신암동, 해링턴플레이스동대구아파트) 307동 104호"
동의대점,"부산 부산진구 가야대로 538  (가야동, 가야 롯데캐슬 골드아너) 상가2동 109호"
부산신만덕점,부산 북구 덕천로 302  (만덕동)
간석올리브점,"인천 남동구 간석동 939-1  래미안자이아파트 상가 1층 109호, 110호"
행당점,서울 성동구 행당동 298-86
문화충대병원점,대전 중구 문화로 214  (문화동)
둔산타임월드점,대전 서구 둔산로31번길 21  (둔산동)
서대전점,대전 중구 계백로 1703-1  (오류동)
남춘천점,"강원특별자치도 춘천시 경춘로 2364  (온의동, 강남병원) 1층"
대방역점,"서울 동작구 알마타길 6  (대방동, 파밀리에 하늘마루) 107호"
동춘점,"인천 연수구 앵고개로264번길 10-13  (동춘동, 대동빌딩) 1층"
대구시지광장점,대구 수성구 신매로19길 54  (신매동) 2층
해운대장산점,"부산 해운대구 좌동로 96  (좌동, 블루스퀘어) A동"
거제홈플러스점,"경남 거제시 장평로 12  (장평동, 디큐브백화점) 지하1층"
제주아라점,제주특별자치도 제주시 중앙로 553  (아라일동) 1층
과천중앙점,"경기 과천시 관문로 92  (중앙동, 힐스테이트 과천중앙) 1층"
대전복합터미널점,"대전 동구 동서대로 1689  (용전동, 대전복합터미널(서관)) 108호(서관 3번 게이트 옆)"
지타워몰점,"서울 구로구 디지털로26길 38  (구로동, G-Tower) B132 (202호)"
대구범어점,대구 수성구 범어로20길 39  (범어동)
부산사직운동장점,부산 동래구 아시아드대로161번길 90  (사직동)
부산동아대점,부산 사하구 낙동대로 550  (하단동) 1층
평택용죽점,경기 평택시 용죽2로 32-25  (용이동) 101호
전주객사점,전북 전주시 완산구 고사동 25
길동점,서울 강동구 길동 411-4  1층 1호
수원경기대점,경기 수원시 영통구 대학로 28  (이의동)
광양덕례점,전남 광양시 광양읍 갈티로 46  (덕례리)
진주초전점,경남 진주시 초전북로61번길 16-3  (초전동)
부천원종점,경기 부천시 소사로 758  (원종동)
예산터미널점,"충남 예산군 예산읍 금오대로 35-13  (산성리) 1층 102,102호"
용인백암점,"경기 용인시 처인구 백암면 근창로 35  (근창리, 비두빌딩)  비두빌딩 1층"
대전월평점,"대전 서구 청사로 130  (월평동, 청사로프라자)"
당진문예의전당점,충남 당진시 무수동로 60  (읍내동)
부천상동점,"경기 부천시 상동로 112  (상동, 썬프라자)"
화성시청남양점,경기 화성시 남양읍 역골중앙로 14  (남양리) 102호
