매장코드,매장명,주소,오픈날짜
1116,광주상무중앙로,광주광역시 서구 치평동 1251-1,2016-09-29
1057,광주상무시민로,광주광역시 서구 치평동 1223,2016-04-19
1026,광주풍암,광주광역시 서구 풍암동 1119 한아름빌딩 101호,2015-12-23
927,광주금호DT,광주광역시 서구 쌍촌동 902-13 스타벅스 광주금호DT점,2015-05-20
689,광주상무대교,광주광역시 서구 치평동 1216 눈높이상무센터 1층,2013-11-15
676,광주동림,광주광역시 서구 동천동 596 1층,2013-10-17
380,상무치평,광주광역시 서구 치평동 1240-6번지 1층,2011-03-25
389,상무역,광주광역시 서구 치평동 1176-3번지 1층,2011-05-04
444,신세계광주신관B1,광주광역시 서구 화정동 12-13 패션스트리트 B1,2011-10-18
2387,광주시청,"광주광역시 서구 치평동 1203 제갈량빌딩, B동 102호",2025-03-27
2113,광주풍암호수공원,광주광역시 서구 풍암동 1018-2,2023-03-24
1847,서광주DT,광주광역시 서구 매월동 296,2021-08-26
2462,광주유스퀘어,광주광역시 서구 광천동 49-1 유스퀘어(광천터미널),2025-09-16
2291,광주염주,광주광역시 서구 화정동 835-2 가우디움56 1층,2024-07-11
2250,광주광천,"광주광역시 서구 농성동 417-31, 417-32",2024-03-28
1573,대구영대병원역DT,대구광역시 남구 봉덕동 595-7,2019-11-29
1601,대구앞산DT,"대구광역시 남구 대명동 493-38, 493-37, 493-26",2020-01-17
2157,영남대학교의료원영의관,"대구광역시 남구 대명동 317-1 영남대학교(병원), 영남이공대학교",2023-07-25
1829,대구가톨릭대학교병원,대구광역시 남구 대명동 3056-6 대구가톨릭의과대학병원,2021-07-01
2149,영남대학교의료원,"대구광역시 남구 대명동 317-1 영남대학교(병원), 영남이공대학교",2023-06-28
2477,대구교대DT,대구광역시 남구 대명동 2008-1,2025-11-28
2025,대구앞산스카이타운,대구광역시 남구 대명동 585-4,2022-08-24
1512,계명대동산병원,대구광역시 달서구 신당동 1000-2 계명대학교동산의료원,2019-06-19
1380,대구죽전역,대구광역시 달서구 감삼동 461 월드마크웨스트엔드,2018-06-29
1418,대구월곡DT,대구광역시 달서구 상인동 620,2018-10-02
1386,대구광장,"대구광역시 달서구 두류동 493-2, 3",2018-06-29
1338,대구월촌역,대구광역시 달서구 송현동 1914-11,2018-02-14
1201,대구진천역,대구광역시 달서구 진천동 581-1,2017-04-12
1091,대구도원DT,대구광역시 달서구 도원동 577,2016-07-08
1158,대구월성,"대구광역시 달서구 월성동 1838번지, 101,102,103,201호",2016-12-22
1041,대구수목원,대구광역시 달서구 대곡동 1018,2016-02-25
1004,대구성서IC DT,"대구광역시 달서구 용산동 410-9, 12",2015-11-19
947,대구감삼DT,대구광역시 달서구 감삼동 490-1,2015-06-29
870,대구두류DT,"대구광역시 달서구 두류동 135-14,15",2014-12-18
848,대구상인DT,대구광역시 달서구 상인동 54-3 1~2층,2014-10-30
128,대구계명대,대구광역시 달서구 신당동 1721-12,2008-03-31
481,대구성서,대구광역시 달서구 이곡동 1248-1 이곡메디컬빌딩,2012-02-23
553,대구서부정류장역,대구광역시 달서구 성당동 성당동 261-7번지,2012-09-18
1981,대구이월드,대구광역시 달서구 두류동 산302-11,2022-05-27
2074,대구대천,대구광역시 달서구 대천동 444,2023-01-12
2366,대구감삼빌리브스카이,대구광역시 달서구 감삼동 707 빌리브 스카이 주상복합,2024-12-23
2257,대구월성네거리,대구광역시 달서구 월성동 1858,2024-04-26
1145,신세계대구3F(티바나),대구광역시 동구 신천동 329-3번지,2016-12-13
1144,신세계대구8FR,대구광역시 동구 신천동 329-3번지,2016-12-13
1034,동대구로DT,대구광역시 동구 신천동 300-2,2016-02-05
913,대구팔공산,"대구광역시 동구 중대동 665-2, 665-5",2015-04-10
782,대구봉무,대구광역시 동구 봉무동 1539-8,2014-05-28
417,동대구터미널,대구광역시 동구 신천동 330-6번지,2011-08-16
577,대구동촌유원지,대구광역시 동구 효목동 1105번지,2013-01-11
386,반야월이마트,대구광역시 동구 신서동 520-1 반야월이마트1층,2011-04-30
2233,대구방촌DT,"대구광역시 동구 방촌동 1084-716, 1084-717, 1084-762",2024-01-23
2230,대구신천DT,대구광역시 동구 신천동 283-2,2024-01-12
1985,대구팔공로DT,대구광역시 동구 봉무동 262-1,2022-06-09
1702,대구율하,대구광역시 동구 율하동 1445,2020-09-10
1705,대구각산역DT,대구광역시 동구 신서동 695 대구광역시 동구 안심로 383 (신서동),2020-09-29
2232,대구연경DT,대구광역시 동구 지묘동 1371,2024-01-18
2189,대구파티마병원,대구광역시 동구 신암동 576-31 파티마병원,2023-09-25
1019,대구평리DT,대구광역시 서구 평리동 1407-7,2015-12-22
2361,대구두류역,대구광역시 서구 내당동 469-5,2024-12-11
1456,대구수성도서관DT,"대구광역시 수성구 만촌동 1329-17, 1, 33, 34",2018-12-24
1443,대구그랜드호텔R,대구광역시 수성구 범어동 563-1 대구그랜드호텔,2018-12-18
