매장코드,매장명,주소,오픈날짜
1509,역삼아레나빌딩,서울특별시 강남구 역삼동 721-13 아레나빌딩,2019-06-13
1434,논현역사거리,서울특별시 강남구 논현동 142-2 정일빌딩,2018-11-23
1595,신사역성일빌딩,서울특별시 강남구 논현동 18-4 성일빌딩,2019-12-19
1527,국기원사거리,서울특별시 강남구 역삼동 648-22 동찬빌딩,2019-07-31
1468,대치재경빌딩,서울특별시 강남구 대치동 599 대원빌딩,2019-02-14
1640,봉은사역,서울특별시 강남구 삼성동 108-6 JBK TOWER 빌딩,2020-05-28
1650,압구정윤성빌딩,서울특별시 강남구 신사동 592 윤성빌딩,2020-05-29
1626,코엑스별마당,서울특별시 강남구 삼성동 159 코엑스,2020-04-16
1438,삼성역섬유센터R,서울특별시 강남구 대치동 944-31 한국섬유산업연합회,2018-11-23
1411,압구정R,서울특별시 강남구 신사동 621-1,2018-08-31
1389,수서역R,서울특별시 강남구 수서동 715 수서빌딩,2018-06-27
1404,양재강남빌딩R,서울특별시 강남구 도곡동 956 LG전자 강남R&D센터,2018-08-24
1355,선릉동신빌딩R,서울특별시 강남구 삼성동 141-28 동신빌딩,2018-03-30
1348,봉은사로선정릉,서울특별시 강남구 삼성동 114-9 올림푸스타워,2018-03-06
1255,강남오거리,"서울특별시 강남구 역삼동 813-17 1,2,3층",2017-08-18
1211,스타필드코엑스몰R,서울특별시 강남구 삼성동 159 코엑스  A106호,2017-05-02
1188,강남구청정문,서울특별시 강남구 청담동 44-12 대륭빌딩,2017-03-23
1263,도곡공원,서울특별시 강남구 역삼동 788-10,2017-08-25
1258,강남R,서울특별시 강남구 역삼동 825 미진프라자 1층 101호,2017-08-16
1099,대치은마사거리,서울특별시 강남구 대치동 941-19 진흥빌딩,2016-08-12
1154,청담영동대로,서울특별시 강남구 청담동 132-1 삼청빌딩,2016-12-23
1084,압구정,서울특별시 강남구 신사동 609 이소니프라자,2016-06-23
1159,신사가로수,서울특별시 강남구 신사동 533-11,2016-12-27
1146,청담스타R,서울특별시 강남구 청담동 89-4,2016-12-14
1129,강남우성,서울특별시 강남구 역삼동 832-3 강남역 쉐르빌,2016-11-10
991,학동사거리,서울특별시 강남구 논현2동 93-2번지,2015-09-11
1062,대치사거리,서울특별시 강남구 대치동 960-5 티아빌딩,2016-05-12
1038,포스코사거리,서울특별시 강남구 삼성동 157-36 화진빌딩,2016-02-24
914,을지병원사거리,서울특별시 강남구 논현동 59-8 구산빌딩,2015-04-22
863,신사역,서울특별시 강남구 논현동 1-3 렉스타워,2014-12-11
825,도곡역,서울특별시 강남구 대치동 651,2014-08-28
815,서울세관사거리,서울특별시 강남구 논현동 238-5 한국건설기술인협회,2014-07-31
734,청담사거리,서울특별시 강남구 청담동 6-5 리츠타워,2014-02-20
687,한티역,서울특별시 강남구 대치동 1024 디마크빌딩 101호,2013-11-08
752,역삼초교사거리,서울특별시 강남구 역삼동 830-71,2014-03-26
744,코엑스몰,서울특별시 강남구 삼성동 159 코엑스 O103호,2014-03-01
672,가로수길,서울특별시 강남구 신사동 529-10 1~2층,2013-10-04
632,역삼대로,서울특별시 강남구 역삼동 678-39번지 한국고등교육재단빌딩1층,2013-06-25
636,역삼포스코,서울특별시 강남구 역삼동 735-3번지 P&S TOWER,2013-07-09
630,강남대로,서울특별시 강남구 역삼동 809-10번지 한석타워 2층 1-2호,2013-06-20
667,청담,서울특별시 강남구 청담동 52-1 인희빌딩 1층,2013-09-17
607,삼성교,서울특별시 강남구 대치동 1001-8 외 2필지 동남유화빌딩1층,2013-04-23
251,학동역,서울특별시 강남구 논현동 87,2004-08-30
200,대치,서울특별시 강남구 대치동 988-17 대진빌딩,2003-05-09
198,신세계푸드마켓도곡,서울특별시 강남구 도곡동 467-17 타워팰리스Ⅱ F 지하1층,2003-01-15
180,삼성,서울특별시 강남구 삼성동 144-25 태리타워 1층,2002-03-29
170,선릉세화빌딩,서울특별시 강남구 대치동 889-70 세화빌딩 1층,2001-11-10
158,압구정역,서울특별시 강남구 신사동 580-2 관영빌딩 1층 지하1층,2001-03-10
283,압구정로,서울특별시 강남구 신사동 635-13,2007-12-21
279,구역삼사거리,서울특별시 강남구 역삼동 747-21,2008-05-28
278,큰길타워,서울특별시 강남구 역삼동 677-25 큰길타워,2005-03-10
275,강남구청역,서울특별시 강남구 논현동 241-7 웰빙센터 1층,2005-04-20
274,대치역,서울특별시 강남구 대치동 507 윈플러스상가 107호,2005-05-10
272,포이,서울특별시 강남구 개포4동 1229-1,2005-05-30
19,아크플레이스,서울특별시 강남구 역삼동 736-1,2006-04-21
3,학여울역,서울특별시 강남구 대치동 994-10,2006-02-23
989,선정릉역,서울특별시 강남구 삼성2동 37-17 에프오빌딩,2015-09-22
58,삼성현대힐,서울특별시 강남구 삼성동 51번지,2008-12-05
266,GS타워,서울특별시 강남구 역삼동 679,2005-08-06
259,압구정미소,서울특별시 강남구 신사동 583-3,2004-12-10
258,선릉역,서울특별시 강남구 역삼동 708-6 LG화재 빌딩,2004-11-19
484,코엑스사거리,서울특별시 강남구 삼성동 91-31,2012-02-27
471,역삼럭키,서울특별시 강남구 역삼동 798-30,2012-01-10
394,신압구정,서울특별시 강남구 신사동 639-7번지,2011-06-07
306,아크로힐스논현,서울특별시 강남구 역삼동 681번지 금강빌딩 1-2층,2009-12-23
497,강남비젼타워,서울특별시 강남구 역삼동 826-26번지 1층 101호,2012-03-30
338,압구정로데오역,"서울특별시 강남구 청담동 84-3번지 삼원빌딩 1,2층",2010-08-31
316,르네상스사거리,서울특별시 강남구 역삼동 706-1번지,2010-03-25
325,포스코,서울특별시 강남구 대치동 942-5번지 1층,2010-07-14
565,선릉로,서울특별시 강남구 역삼동 697-45 대흥빌딩 1층,2012-11-14
430,논현힐탑,서울특별시 강남구 논현동 216-5번지,2011-08-29
433,도산가로수길,서울특별시 강남구 논현동 5번지 2층,2011-09-07
2319,매봉역,서울특별시 강남구 도곡동 411-19 지앤지빌딩,2024-09-10
2520,호림아트센터,서울특별시 강남구 신사동 651-24 호림아트센터 1빌딩,2026-01-30
2497,청담역6번출구,"서울특별시 강남구 삼성동 65-5, 65-10",2025-12-11
2509,강남자곡,"서울특별시 강남구 자곡동 650, 107~109호",2025-12-26
1760,대치한티,서울특별시 강남구 대치동 922-1 SH타워,2021-01-28
2125,개포동,서울특별시 강남구 개포동 167-9,2023-04-21
1873,수서역사거리,서울특별시 강남구 수서동 724 로즈데일오피스텔,2021-09-29
1710,코엑스아셈타워,서울특별시 강남구 삼성동 159 코엑스아셈타워 AT-01호,2020-11-04
2428,강남차여성병원,서울특별시 강남구 역삼동 605 마티네 차움,2025-07-10
1831,센터필드R,서울특별시 강남구 역삼동 676 센터필드,2021-07-27
1813,도산사거리,서울특별시 강남구 논현동 70-6 트리스빌딩,2021-06-10
1800,강남세곡,서울특별시 강남구 세곡동 551 팜모드빌딩,2021-04-22
1716,대치삼성,서울특별시 강남구 대치동 993-1,2020-10-08
2534,강남아이퀘스트,서울특별시 강남구 역삼동 839-16 아우디 도곡로 전시장,2026-03-20
2057,언주역,서울특별시 강남구 역삼동 652-2,2022-11-24
2522,한티역8번출구,서울특별시 강남구 역삼동 765-17,2026-01-30
2514,신논현역3번출구,서울특별시 강남구 논현동 199 대남빌딩,2026-01-30
2437,강남파이낸스센터,"서울특별시 강남구 역삼동 737 강남파이낸스센터, 1층 B호",2025-07-31
1975,강남역신분당역사,서울특별시 강남구 역삼동 858,2022-05-12
2000,삼성역,서울특별시 강남구 대치동 996-1번지,2022-07-07
1752,테헤란로아남타워,서울특별시 강남구 역삼동 702-10 아남타워빌딩,2021-01-07
1902,강남논현,서울특별시 강남구 논현동 164-7,2021-12-16
1846,삼성동,서울특별시 강남구 삼성동 168-22 페코빌딩,2021-08-06
2398,리저브도산,"서울특별시 강남구 신사동 656-4, 1,2층",2025-04-29
2371,압구정역사3번출구,서울특별시 강남구 신사동 603 ANdAZ 지하1층,2024-12-27
2204,청담역,서울특별시 강남구 청담동 47-2,2023-11-01
2245,압구정현대아파트,서울특별시 강남구 신사동 574-4,2024-03-04
2331,강남청담빌딩,서울특별시 강남구 청담동 41 청담빌딩,2024-09-29
2351,케이스퀘어강남,서울특별시 강남구 역삼동 819,2024-11-22
2217,강남세곡DT,"서울특별시 강남구 세곡동 21-3, 21-1, 21-10(일부)",2023-11-30
1120,미아뉴타운,서울특별시 강북구 미아동 812-2 행전빌딩,2016-10-07
971,강북구청사거리,서울특별시 강북구 수유동 174-13,2015-08-18
872,미아사거리역,서울특별시 강북구 미아동 35-30,2014-12-23
254,수유역,서울특별시 강북구 번동 418-17,2004-10-14
509,미아역,서울특별시 강북구 미아동 121-19번지,2012-04-25
2314,수유역5번출구,서울특별시 강북구 수유동 740 에피소드 수유 838,2024-09-05
1858,서울안토,서울특별시 강북구 우이동 산14-3,2021-08-27
1547,발산역사거리,서울특별시 강서구 마곡동 801-2,2019-09-30
1625,마곡역,서울특별시 강서구 마곡동 798-3,2020-04-09
1383,우장산역,서울특별시 강서구 내발산동 719-6 송화쇼핑센터,2018-06-26
1396,마곡사이언스타워R,서울특별시 강서구 마곡동 796-3 마곡사이언스타워,2018-07-31
1311,방화DT,"서울특별시 강서구 방화동 293-4, 293-14, 293-15",2017-12-13
1267,마곡나루역,"서울특별시 강서구 마곡동 759-3 보타닉파크타워Ⅰ105,203,204호",2017-09-07
1217,마곡GMG,서울특별시 강서구 마곡동 773-2 마곡지엠지타워,2017-05-10
1196,가양역,서울특별시 강서구 등촌동 73-1 금부빌딩,2017-03-31
1114,화곡DT,서울특별시 강서구 화곡동 772-67,2016-10-11
909,화곡동,서울특별시 강서구 화곡동 1073-10,2015-03-27
703,염창역,서울특별시 강서구 염창동 282-23,2013-12-13
731,발산역,서울특별시 강서구 등촌동 678-14 그랜드마트,2014-02-07
549,까치산역,서울특별시 강서구 화곡동 343-1번지,2012-09-05
2479,마곡코엑스,"서울특별시 강서구 마곡동 767, 르웨스트시티 제본동 제1층 샵4/5호",2025-11-28
2288,염창대로,"서울특별시 강서구 염창동 260, 101호",2024-06-28
2196,발산역5번출구,"서울특별시 강서구 내발산동 647 DH647, 1층 일부",2023-10-13
2496,양천향교역,서울특별시 강서구 마곡동 776-2 마곡센트럴대방디엠시티오피스텔 121-1 121-2호,2025-12-24
2013,화곡역8번출구,"서울특별시 강서구 화곡동 1051-22, 1층 일부",2022-08-01
2003,강서우장산,"서울특별시 강서구 화곡동 1013-3 우장산역 해링턴 타워, 116/117/118/119/120호",2022-07-12
1771,등촌대로,서울특별시 강서구 염창동 274-17 센터스퀘어,2021-03-03
2393,마곡보타닉게이트,서울특별시 강서구 마곡동 779,2025-04-17
1839,가양역사거리,"서울특별시 강서구 등촌동 628-9 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",2021-08-06
2407,원그로브,서울특별시 강서구 마곡동769 WB115호,2025-05-23
1903,내발산,"서울특별시 강서구 내발산동 668, 101/102호",2021-12-09
1940,마곡웰튼,"서울특별시 강서구 마곡동 759-2, 104/105/106호",2022-03-23
2518,김포공항국내선,서울특별시 강서구 공항동 1373-5 김포공항 국내선터미널 3층,2026-01-23
1998,김포공항DT,서울특별시 강서구 방화동 645-6,2022-07-14
1864,강서NC,"서울특별시 강서구 등촌동 689 엔씨백화점 1F, 일부",2021-09-15
2378,김포공항국제선,서울특별시 강서구 방화동 886 (면세구역 내 35번 게이트 옆),2025-02-07
2394,마곡케이스퀘어,"서울특별시 강서구 마곡동 768-1, 1층 일부",2025-04-16
1783,마곡나루공원,서울특별시 강서구 마곡동 743-1,2021-04-15
2194,송정역,"서울특별시 강서구 공항동 32-3, 1층 일부",2023-10-11
1769,강서구청사거리,서울특별시 강서구 화곡동 1111 SJ라벨라,2021-02-24
1546,낙성대역,서울특별시 관악구 봉천동 1660-1,2019-09-27
1500,관악서울대입구R,서울특별시 관악구 봉천동 856-6 BS타워,2019-05-31
1292,신림DT,"서울특별시 관악구 신림동 564-12, 564-11",2018-02-08
1143,서울대역,서울특별시 관악구 봉천동 861-6,2016-12-09
1094,낙성대DT,서울특별시 관악구 봉천동 1657-3,2016-07-29
733,사당,서울특별시 관악구 남현동 1060-10,2014-02-13
639,보라매대교빌딩,서울특별시 관악구 봉천동 729-21 대교타워 1층,2013-07-09
24,신림,서울특별시 관악구 신림동 1432-71번지,2009-03-17
30,신림타임스트림,서울특별시 관악구 신림동 1641-2번지 타임스트림 1층,2009-02-27
468,서울대입구역,서울특별시 관악구 봉천동 869-1,2012-01-06
2453,신림녹두거리,서울특별시 관악구 신림동 1747 센터스퀘어 서울대점,2025-08-29
2143,서울대입구역8번출구,서울특별시 관악구 봉천동 852-5,2023-07-14
1950,봉천역,서울특별시 관악구 봉천동 927-5 청운빌딩,2022-04-29
2342,봉천현대시장,"서울특별시 관악구 봉천동 465-2, 1층 101~104호",2024-11-06
2537,낙성대역7번출구,"서울특별시 관악구 봉천동 1687-13, 1687-14 더블유타워 1층 일부",2026-03-27
1544,건국대,서울특별시 광진구 화양동 5-45,2019-10-04
1458,어린이대공원역,서울특별시 광진구 군자동 236,2019-01-15
1414,아차산역,서울특별시 광진구 구의동 75-19,2018-09-12
1278,올림픽대교북단,서울특별시 광진구 구의동 200-2,2017-09-26
921,구의DT,"서울특별시 광진구 구의동 67-36,37,7",2015-04-29
882,자양사거리,서울특별시 광진구 자양동 779,2015-01-15
761,군자역,서울특별시 광진구 군자동 478-5 중앙빌딩,2014-04-11
659,광나루,"서울특별시 광진구 광장동 329-1 1,2층",2013-08-29
139,건대스타시티,"서울특별시 광진구 자양동 227-7  1층 19,20,21호",2007-03-19
297,건대입구,서울특별시 광진구 화양동 5-47,2009-09-24
517,광장,서울특별시 광진구 광장동 582,2012-05-15
528,건국클래식,"서울특별시 광진구 자양동 227-342 더 클래식500  1층 C102,103호",2012-06-29
2454,건대로데오,서울특별시 광진구 자양동 8-8 더포디엄830,2025-08-29
2450,강변,서울특별시 광진구 구의동 594-4 금성빌딩,2025-08-29
2422,구의역이스트폴,"서울특별시 광진구 자양동 870, 1층",2025-06-27
1925,건대후문,서울특별시 광진구 화양동 111-12 빌리브 인테라스 B02~B06,2022-01-27
1945,중곡역,서울특별시 광진구 중곡동 30-80 보건복지행정타운 1층일부,2022-03-24
1677,자양이마트,서울특별시 광진구 자양동 227-7 더샵스타시티 지하1층,2020-08-13
1936,자양역,서울특별시 광진구 자양동 855 이튼타워리버3차 1층 109호,2022-03-16
2526,세종대,서울특별시 광진구 군자동 98 세종대학교,2026-02-27
2439,뚝섬한강공원,서울특별시 광진구 자양동 424,2025-07-31
2247,화양삼거리,서울특별시 광진구 화양동 174 건대 트레비앙 오피스텔,2024-03-21
1802,군자사거리,서울특별시 광진구 중곡동 649-4 1층,2021-04-29
1637,금천구청역,"서울특별시 금천구 시흥동 1031, 엠메디컬타워 1층",2020-04-29
1405,가산에스케이,"서울특별시 금천구 가산동 371-41, SK V1센터 1층",2018-08-27
1218,독산사거리,서울특별시 금천구 독산동 159-23 영진빌딩,2017-05-19
1184,금천시흥,서울특별시 금천구 시흥동 904-22 더플레이스,2017-03-15
1076,가산디지털단지역,"서울특별시 금천구 가산동 50-3, 대륭포스트타워 6차 1층",2016-06-15
778,금천독산,서울특별시 금천구 독산동 291-1,2014-05-21
227,가산디지털,"서울특별시 금천구 가산동 371-28, 우림라이온스밸리 B동 1층",2006-01-25
555,마리오아울렛,서울특별시 금천구 가산동 60-20 ㈜마리오 3관1층,2012-09-19
364,가산브이타워,"서울특별시 금천구 가산동 371-37, V-TOWER 1층",2011-01-27
1927,독산역,"서울특별시 금천구 가산동 673, 107-2, 1층",2022-02-25
2463,금천금나래,서울특별시 금천구 시흥동 113 1층,2025-09-26
2303,가산퍼블릭,"서울특별시 금천구 가산동 60-26, B동 F Park 1층",2024-08-07
1979,가산현대아울렛,"서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점, 1층 일부",2022-06-03
2200,가산케이에스,"서울특별시 금천구 가산동 60-14, 가산KS타워 1층",2023-11-01
2326,가산어반워크,서울특별시 금천구 가산동 451-1,2024-09-27
1616,월계역,"서울특별시 노원구 월계동 633-31(104,105,106호)",2020-02-18
1475,월계트레이더스,서울특별시 노원구 월계동 333-1 월계이마트,2019-03-14
1484,상계초교사거리,서울특별시 노원구 상계동 372-16,2019-04-11
1379,공릉DT,"서울특별시 노원구 공릉동 597-34, 597-30, 597-31, 597-32, 597-33",2018-06-28
1266,노원마들역,서울특별시 노원구 상계동 694 임광아파트,2017-09-12
1244,공릉역,서울특별시 노원구 공릉동 379-27,2017-07-18
120,은행사거리,"서울특별시 노원구 중계동 360-6중흥빌딩 103,203호",2008-02-29
540,노원KT,서울특별시 노원구 상계동 723번지 ㈜KT 노원사옥,2012-08-02
498,광운대,서울특별시 노원구 월계동 410-1번지,2012-04-04
574,중계역,서울특별시 노원구 상계동 763-3 대한빌딩,2013-01-04
596,노원역,서울특별시 노원구 상계동 712 남성빌딩 1층,2013-03-20
587,월계이마트,서울특별시 노원구 월계동 333-1번지,2013-02-05
1805,태릉입구역DT,서울특별시 노원구 공릉동 653-8,2021-05-20
2035,노원상계,서울특별시 노원구 상계동 730-4,2022-10-07
2316,노원구청,서울특별시 노원구 상계동 705 태웅빌딩,2024-09-12
1511,창동이마트,서울특별시 도봉구 창동 135-26 창동EMART,2019-06-13
2510,덕성여대,서울특별시 도봉구 쌍문동 423-48 지민빌딩,2025-12-26
2220,도봉구청,서울특별시 도봉구 도봉동 622-57,2023-12-08
2475,쌍문,서울특별시 도봉구 창동 661-45 국민은행 1층,2025-10-30
1801,쌍문도봉로,서울특별시 도봉구 창동 650-45,2021-04-29
2111,도봉로DT,서울특별시 도봉구 쌍문동 707-9,2023-03-23
1953,방학역,서울특별시 도봉구 방학동 707-6,2022-04-20
2177,창동역,서울특별시 도봉구 창동 1-28 씨드큐브 창동,2023-09-01
1553,노량진동,서울특별시 동작구 노량진동 333 고려교육타워-어바니엘한강 101호~105호,2019-10-25
1533,남성역,서울특별시 동작구 사당동 252-15,2019-08-23
1657,상도역,서울특별시 동작구 상도1동 666-5,2020-06-11
1466,보라매공원R,"서울특별시 동작구 신대방동 395-65 파크스퀘어,보라매현대APT",2019-01-30
1439,이수자이,서울특별시 동작구 사당동 147-29 이수자이,2018-11-30
1357,노량진역,서울특별시 동작구 노량진동 62-8 이도타워,2018-04-12
1272,신대방삼거리역,서울특별시 동작구 상도동 324-1번지,2017-09-28
1126,중앙대,서울특별시 동작구 흑석동 205-5,2016-10-28
1015,숭실대입구역,서울특별시 동작구 상도동 475-5,2015-12-16
10,숭실대,"서울특별시 동작구 상도동 501-9,11",2006-02-28
307,사당역,서울특별시 동작구 사당동 1031-27 양지빌딩 1-3층,2009-12-24
2397,상도대로,"서울특별시 동작구 상도동 27-14 성현빌딩, 1층",2025-04-16
2411,이수역13번출구,"서울특별시 동작구 사당동 139-30 지안플라자, 1층",2025-05-30
2536,장승배기역,서울특별시 동작구 상도동 900 상도파크자이 제상가동 제지2층 105호,2026-03-27
1555,서강대프라자,"서울특별시 마포구 신수동 1-1 서강대학교 지하캠퍼스 지하1층 104, 105-1호",2019-10-16
1490,상암YTN,서울특별시 마포구 상암동 1607 YTN 뉴스퀘어,2019-04-29
1428,마포용강동,서울특별시 마포구 용강동 112-2외 9필지 근린생활시설,2018-10-30
1322,홍대입구역사거리R,서울특별시 마포구 서교동 353-5 경남관광빌딩,2018-01-11
1335,마포경찰서후문,서울특별시 마포구 아현동 618-19 마포 센텀 슬로우스퀘어,2018-01-26
1323,공덕,서울특별시 마포구 공덕동 254-8 동방빌딩,2018-01-16
1366,합정폴리스R,서울특별시 마포구 서교동 490 메세나폴리스 B189~193,2018-05-14
1285,홍대공항철도역,서울특별시 마포구 동교동 166-1,2017-10-25
1123,마포염리,서울특별시 마포구 염리동 168-9 국민건강보험공단,2016-10-19
1157,서강광흥창역,서울특별시 마포구 창전동 130,2016-12-22
1079,합정,"서울특별시 마포구 합정동 472 마포한강푸르지오 110, 111, 112-2",2016-06-21
1137,서강대흥역,서울특별시 마포구 대흥동 111-1,2016-11-29
1031,서교동사거리,서울특별시 마포구 서교동 374-20,2016-01-26
1069,상암사보이시티,서울특별시 마포구 상암동 1597 사보이시티 DMC,2016-05-27
1067,신촌오거리,서울특별시 마포구 노고산동 54-1,2016-05-24
910,상암디지털큐브,서울특별시 마포구 상암동 1647,2015-03-27
943,상수역,서울특별시 마포구 상수동 329-1,2015-06-24
949,공덕오거리,서울특별시 마포구 도화동 22 창강빌딩,2015-07-14
793,서강대,서울특별시 마포구 신수동 63-14,2014-06-24
803,상암MBC,"서울특별시 마포구 상암동 1603,1604 MBC신사옥 C1 경영센터",2014-06-30
680,홍대역,서울특별시 마포구 동교동 159-1 상진빌딩 1층,2013-10-29
644,동교,서울특별시 마포구 동교동 205-6 영준빌딩 1층,2013-07-24
70,애오개역,서울특별시 마포구 아현동 738번지 마포트라팰리스II,2008-11-12
88,상암DMC,"서울특별시 마포구 상암동 1654번지 DMC 이안상암1단지 102호,202호",2007-10-08
87,마포일진빌딩,서울특별시 마포구 도화동 50-1 일진빌딩 1층,2008-09-17
84,마포아크로,서울특별시 마포구 도화동 563 마포아크로타워,2007-09-18
397,홍대삼거리,서울특별시 마포구 상수동 86-22 번지,2011-06-21
358,망원역,서울특별시 마포구 서교동 475-13,2010-12-15
472,마포이마트,서울특별시 마포구 신공덕동 173,2012-01-10
546,합정메세나몰,"서울특별시 마포구 서교동 490 메세나폴리스 지하1층 B161,162,163,164,",2012-08-31
1970,아현역대로,"서울특별시 마포구 아현동 330-5외 3필지 아르띠타워 가동 102,103호",2022-05-12
1987,디지털미디어시티역,서울특별시 마포구 상암동 1623 한샘상암사옥 1층,2022-06-08
1756,홍대역8번출구,서울특별시 마포구 동교동 165-1 미래프라자 1층,2021-01-14
2492,마포역뉴매드,"서울특별시 마포구 마포동 451, 103, 104호",2025-12-18
2001,합정푸르지오,서울특별시 마포구 합정동 473 마포 한강 2차 푸르지오 227~229호,2022-07-07
2108,홍대동교,서울특별시 마포구 동교동 173-14,2023-03-30
1885,망원한강공원,서울특별시 마포구 망원동 205-5 Mapoint 2층,2021-11-05
2287,마포구청역,서울특별시 마포구 성산동 591-3 1층 일부,2024-07-12
1510,가재울뉴타운,서울특별시 서대문구 남가좌동 385 DMC파크뷰자이2단지별동상가1층,2019-06-21
1656,남가좌사거리,서울특별시 서대문구 남가좌동 224-1 DMC에코자이 104동,2020-06-30
1293,신촌역,서울특별시 서대문구 창천동 72-12 거화빌딩,2017-11-14
1231,아현역,서울특별시 서대문구 북아현동 136-21 e편한세상신촌 4단지,2017-06-09
1193,홍제역,서울특별시 서대문구 홍제동 301-19 홍제빌딩,2017-03-28
993,연세백양로,서울특별시 서대문구 신촌동 134 연세대학교,2015-10-07
911,연희DT,"서울특별시 서대문구 연희동 87-7 ,87-8",2015-03-31
33,경기대,서울특별시 서대문구 충정로2가 191,2006-05-17
177,신촌,"서울특별시 서대문구 창천동 18-55 즐거운빌딩 1,2,3층",2002-01-30
149,이대,서울특별시 서대문구 대현동 54-4,1999-07-27
141,연세종합관,서울특별시 서대문구 신촌동 134번지 성산로 250 연세세브란스 종합관,2008-04-30
134,이대ECC,서울특별시 서대문구 대현동 11-1 이화여자대학교 B415호,2008-04-30
443,연대,서울특별시 서대문구 창천동 33-9번지,2011-10-14
487,충정로역,서울특별시 서대문구 충정로3가 95-1,2012-02-28
453,연대동문,서울특별시 서대문구 대신동 115번지,2011-11-30
353,신촌명물거리,서울특별시 서대문구 창천동 13-19 번지 1-5층,2010-11-26
326,충정타워,서울특별시 서대문구 충정로3가 464번지 충정타워 1층,2010-07-15
2416,명지대,"서울특별시 서대문구 남가좌동 50-3 명지대학교, 지하2층",2025-05-29
2067,이대역,서울특별시 서대문구 대현동 45-8 유인빌딩,2022-12-13
2365,신촌로,서울특별시 서대문구 창천동 29-81 신촌르메이에르타운5,2024-12-13
1909,북가좌DT,서울특별시 서대문구 북가좌동 309-16,2022-01-28
2519,연세암병원,서울특별시 서대문구 신촌동 134 세브란스병원 암센터,2026-02-02
2424,연희동,서울특별시 서대문구 연희동 193-1 한영빌딩,2025-06-27
1763,현대신촌,서울특별시 서대문구 창천동 30-33 현대백화점신촌점,2021-02-03
1550,방배로,서울특별시 서초구 방배동 1022-5 감정평가사회관,2019-10-24
1382,강남교보타워R,서울특별시 서초구 서초동 1303-22 교보타워,2018-06-26
1362,방배다이치빌딩,서울특별시 서초구 방배동 907-1 다이치빌딩,2018-04-26
1353,센트럴F1,서울특별시 서초구 반포동 19-3 센트럴시티빌딩,2018-03-28
1354,서초역이화빌딩,서울특별시 서초구 서초동 1538-10 IWHA (이화빌딩),2018-03-29
1324,서초구청,서울특별시 서초구 서초동 1365-23,2018-01-19
1301,서초우성사거리,서울특별시 서초구 서초동 1329-7 신덕빌딩,2017-11-28
1236,이수역사거리,서울특별시 서초구 방배동 3001-2 방배디오슈페리움1,2017-08-03
1192,강남대로신사,서울특별시 서초구 잠원동 21-7 경승빌딩,2017-03-30
1195,서울고속터미널,서울특별시 서초구 반포동 19-4 강남고속버스터미널,2017-03-31
1013,방배,서울특별시 서초구 방배동 812-2,2015-12-10
1024,방배카페거리,서울특별시 서초구 방배동 777-11,2015-12-23
1064,서초법원,서울특별시 서초구 서초동 1572-4,2016-05-10
1051,청계산입구역,서울특별시 서초구 신원동 205-1,2016-03-31
970,사당로데오,서울특별시 서초구 방배동 444-7,2015-09-15
812,파미에파크R,서울특별시 서초구 반포동 118-3 센트럴시티 파미에파크돔 BP4-9호,2014-07-29
830,양재역,서울특별시 서초구 양재동 14-4 모산빌딩,2014-09-23
831,논현역,서울특별시 서초구 잠원동 37-7 1~2층,2014-09-24
811,이수역,서울특별시 서초구 방배동 3000-1,2014-07-24
753,내방역,서울특별시 서초구 방배동 851-1 대풍빌딩,2014-03-27
729,서초파라곤,서울특별시 서초구 서초동 1327-29 서초파라곤,2014-01-28
751,서울아트센터,서울특별시 서초구 서초동 1464-22 호경빌딩,2014-03-25
730,서초중앙로,서울특별시 서초구 반포동 52-6 남도빌딩,2014-01-28
662,센트럴시티,서울특별시 서초구 반포동 19-3,2013-09-05
218,방배역,서울특별시 서초구 방배동 908-10,2004-03-16
233,반포역,서울특별시 서초구 잠원동 58-24 신반포11차상가,2005-10-21
217,남부터미널,서울특별시 서초구 서초동 1445-4 래미안 서초유니빌 1층 101호,2004-02-20
174,뉴코아강남,서울특별시 서초구 잠원동 70-1 킴스클럽,2001-12-22
214,강남서초초교,"서울특별시 서초구 서초동 1307-19 유빌딩 1,2층",2003-12-19
207,교대,서울특별시 서초구 서초동 1657-5 카이스시스템빌딩,2003-08-21
277,하이브랜드,서울특별시 서초구 양재2동 215 번지 리빙관 101호,2005-03-27
23,영동2교,서울특별시 서초구 양재동 4-3번지 대흥빌딩,2009-03-19
103,남부터미널역5번출구,서울특별시 서초구 서초동 1457-1,2007-11-29
100,서래마을입구,서울특별시 서초구 반포동 92-1,2008-08-08
97,몬테소리,서울특별시 서초구 서초동 1318-8,2007-10-25
25,서초역,서울특별시 서초구 서초동 1542-14번지,2009-03-17
396,교대법원,서울특별시 서초구 서초동 1699-3 번지,2011-06-15
486,강남GT타워,서울특별시 서초구 서초동 1317-23 GT타워,2012-02-28
462,서초동,서울특별시 서초구 서초동 1439-14 현우빌딩1층,2011-12-21
327,서울교대,서울특별시 서초구 서초동 1623-1번지 1층,2010-07-15
598,강남에비뉴,서울특별시 서초구 서초동 1303-16번지 강남역아이파크 B102~B105,2013-03-22
2515,서초우면,"서울특별시 서초구 우면동 725 네이처프라자 103호, 104호",2026-01-30
2512,강남역7번출구,서울특별시 서초구 서초동 1319-9,2025-12-31
