징지역,지점ID,매점명,주소
서울,219,동대문역점,"서울특별시 종로구 종로39길 10-1, 1층(종로6가, 칠성빌딩)"
서울,424,익선동점,"서울특별시 종로구 삼일대로30길 28, 1층(익선동)"
서울,133,수송동점,"서울특별시 종로구 율곡로4길 6, 1층(수송동)"
서울,645,종로창경궁로점,"서울특별시 종로구 창경궁로 113, 1층 (인의동)"
서울,937,종로5가역점,"종로33길 12, 1층"
서울,264,동대문종합시장점,"서울특별시 종로구 종로 258, 1층 2호 내제25호(종로6가, 덕성빌딩)"
서울,637,동평화점,"서울특별시 중구 마장로 1길 28-13, 2동 12호(신당동)"
서울,303,경복궁역점,"서울특별시 종로구 사직로 130, 지하1층 60호, 65호(적선동, 적선현대빌딩)"
서울,638,종로구청북부점,"서울특별시 종로구 종로5길 97, 1층(수송동)"
서울,993,답십리역점,"천호대로 305, 유진빌딩 1층 101호"
서울,753,동대문맥스타일점,"서울 중구 마장로 3, 맥스타일 1층 253호 254호"
서울,165,종로3가점,"서울특별시 종로구 종로 127, 1,2층 103호(종로3가)"
서울,982,중곡제일시장점,"면목로 131, 1층 일부"
서울,436,중곡보건복지행정타운점,"서울특별시 광진구 능동로 400, 1층 130호(중곡동, 보건복지행정타운)"
서울,67,동대문점,"서울특별시 중구 장충단로13길 43, 1층 24-1호(을지로6가)"
서울,889,성동구청점,"고산자로 284, 성동샤르망오피스텔 1층 119호"
서울,473,신당역점,"서울특별시 중구 퇴계로87길 1, 1층(황학동)"
서울,744,종로YBM점,"서울 종로구 종로 104, 종로YBM본관 1층"
서울,442,내수동점,"서울특별시 종로구 새문안로3길 23, 107호(내수동, 경희궁의 아침 4단지)"
서울,899,응암대림시장점,"응암로 183, 1층"
서울,439,종로르메이에르점,"서울특별시 종로구 종로 19, 1층 121-2호(종로1가, 르메이에르종로타운1)"
서울,382,광화문역점,"서울특별시 종로구 새문안로5길 14, 1층(당주동)"
서울,171,관철동점,"서울특별시 종로구 삼일대로 383, 1층(관철동)"
서울,860,신당무학점,"다산로39길 4, 유니크하임 1층 101호"
서울,614,장안동점,"서울특별시 동대문구 천호대로 427-4, 1층 일부(장안동)"
서울,153,을지트윈타워점,"서울특별시 중구 을지로 170, 2층 203호(을지로4가)"
서울,476,장한평점,서울특별시 성동구 천호대로 400(용답동)
서울,208,광화문오피시아점,"서울특별시 종로구 새문안로 92, 지하B201호, 지하B022호(신문로1가, 광화문오피시아빌딩)"
서울,515,장교빌딩점,"서울특별시 중구 삼일대로 363, 2동 1층 1호(장교동, 장교빌딩)"
서울,69,청계다동점,"서울특별시 중구 다동길 43, 1층 118,119,120호(다동, 한외빌딩)"
서울,861,광희빌딩점,"퇴계로 307, 광희빌딩 1층 로비"
서울,916,퇴계로제일제당점,마른내로 136-3 1층 1층 일부
서울,91,을지로입구점,서울특별시 중구 남대문로10길 15 1층
서울,451,삼풍을지로점,"서울특별시 중구 을지로20길 26, 1층(인현동1가)"
서울,728,서대문구청점,"서울특별시 서대문구 연희로 239, 1층 일부"
서울,110,무교점,"서울특별시 중구 남대문로9길 24, 1층 107호(다동, 패스트파이브타워)"
서울,764,한양대병원점,"서울 성동구 사근동길 4, 대학약국빌딩 1층"
서울,312,경희궁자이점,"서울특별시 종로구 경교장길 35, 상가동 1층 3134호(평동, 경희궁자이 3단지)"
서울,548,명지대점,"서울특별시 서대문구 거북골로 34, MCC동 코이노이아홀 지하2층(남가좌동, 명지대학교)"
서울,232,정동점,"서울특별시 중구 정동길 6, 1층(정동)"
서울,838,독립문영천시장점,"통일로 173-1, 1층 일부"
서울,492,명동점,"서울특별시 중구 명동9길 13, 1층(명동1가)"
서울,144,충무로점,서울특별시 중구 수표로 22 아세아빌딩 1층(충무로3가)
서울,1033,한양대학생복지관점,"왕십리로 222, 한양대학교 학생회관 1층 일부"
서울,506,소공동점,"서울특별시 중구 남대문로7길 13(소공동, 지상1층)"
서울,46,동국대점,"서울특별시 중구 서애로1길 18-1, 1,2,3층(필동3가)"
서울,119,시청점,"서울특별시 중구 세종대로 91, 1층(태평로2가)"
서울,729,서대문충정빌딩점,"서울 서대문구 통일로 135, 충정빌딩 1층"
서울,66,충무로역점,"서울특별시 중구 퇴계로 192, 1층 103호(필동1가, 거봉빌딩)"
서울,423,서소문점,"서울특별시 중구 서소문로11길 14, 1층(서소문동)"
서울,771,필동점,"서울 중구 필동로 25, 1층"
서울,726,강동U1센터점,"서울 강동구 고덕비즈밸리로 26, 강동U1센터 1층 B-120호"
서울,108,덕수궁롯데캐슬점,"서울특별시 중구 서소문로9길 28, 지1층 B101호(순화동, 덕수궁롯데캐슬)"
서울,999,명동역3번출구점,"퇴계로18길 8, 1층"
서울,217,북창동점,"서울특별시 중구 남대문로1길 14, 1층(북창동)"
서울,107,서대문역점,"서울특별시 서대문구 충정로6길 59, 1층 A-5호(미근동, 서소문아파트)"
서울,53,남산점,서울특별시 중구 소공로 46 B01호(1층)
서울,488,퍼시픽타워점,"서울특별시 중구 세종대로9길 41, 1층(서소문동, 올리브타워)"
서울,392,아차산역점,"서울특별시 광진구 천호대로129길 7, 1층 (오른쪽 부분)(중곡동)"
서울,380,강일점,"서울특별시 강동구 아리수로93길 33-9, 1층 106호(강일동, 강일프라자)"
서울,349,회현역점,"서울특별시 중구 퇴계로10길 16-1, 1층(회현동1가)"
서울,545,중림한국경제점,"서울특별시 중구 청파로 461, 1층(중림동)"
서울,179,충정로점,"서울특별시 서대문구 경기대로 26-22, 1층(충정로3가)"
서울,405,세종대로점,"서울특별시 중구 세종대로 23, 1층(남대문로5가, 창화빌딩)"
서울,859,충정로역센트럴타워점,"서소문로 38, 센트럴타워 1층 104호, 105호, 106호"
서울,180,서울역이프라자점,"서울특별시 중구 세종대로4길 25, B1층 2호(남대문로5가)"
서울,458,고덕래미안점,"서울특별시 강동구 아리수로50길 50, 1층 147,148호(고덕동, 래미안힐스테이트고덕)"
서울,639,서울숲A1점,"서울특별시 성동구 성수일로 11길 11, 1층(성수동1가)"
서울,897,강동롯데캐슬점,"고덕로 133, 롯데캐슬상가 1층 151호"
서울,976,연대동문점,"연대동문길 27-6, 1층"
서울,733,세종대점,"서울 광진구 광나루로 385, 1층 3호"
서울,1006,중림동점,"중림로 45, 1층"
서울,147,성수낙낙점,"서울특별시 성동구 아차산로17길 48, B동 1층 R104호(성수동2가)"
서울,55,성수우림점,"서울특별시 성동구 광나루로6길 35, 1층 110호(성수동2가, 성수동우림 이비즈센터)"
서울,182,뚝섬역점,"서울특별시 성동구 아차산로 49, 1층 102-2호(성수동1가, 서울숲 코오롱디지털타워 III)"
서울,114,상암사보이시티점,"서울특별시 마포구 월드컵북로54길 17, 1층 104호(상암동, 사보이시티디엠씨)"
서울,896,연세대학교 치과대학병원점,"연세로 50-1, 연세대학교 치과대학병원 로비층"
서울,907,암사역점,"올림픽로 782, 501타워 1층 103호"
서울,674,뚝섬역5번출구점,"서울시 성동구 상원길 24, 1층 102호"
서울,169,상암IT타워점,"서울특별시 마포구 월드컵북로 434, 1층 117호(상암동, 상암 IT Tower)"
서울,652,남산트라팰리스점,"서울특별시 중구 소월로2길 30, 1층 109호(남대문로5가, 남산트라팰리스)"
서울,262,상암중앙점,"서울특별시 마포구 월드컵북로 402, 1층 142호(상암동, 케이지아이티센터)"
서울,470,상일동역점,"서울특별시 강동구 고덕로 385, 1층 113호(고덕동, 고덕그라시움(제4상가))"
서울,128,상암DMC점,"서울특별시 마포구 성암로13길 37, 1,2,3층(상암동)"
서울,680,서울숲아이코닉점,"서울시 성동구 서울숲2길 32-14, 1층 103호"
서울,773,연대서문점,"서울 서대문구 연희로10길 82, 지하1층"
서울,701,서울역서부점,"서울 용산구 청파로 395, 창성빌딩 1층"
서울,174,고덕역점,"서울특별시 강동구 고덕로 262, 1층 119호(명일동, 고덕역 효성해링턴 타워 더퍼스트)"
서울,917,건대후문점,"화양동495-26, 1층 일부"
서울,484,서울역점,"서울특별시 용산구 후암로 101, 1층(동자동)"
서울,603,성수엠타워점,"서울특별시 성동구 뚝섬로1길 31,1층 103호(성수동1가, 서울숲 M타워)"
서울,820,상암이안점,"월드컵북로 361, 2단지 108호 일부"
서울,81,이대점,"서울특별시 서대문구 이화여대8길 2, 1동 제1층 101호(대현동, 무궁화상가아파트)"
서울,590,성수성원점,"서울특별시 성동구 아차산로15길 10, 116호(성수동2가, 성원상떼뷰 오피스텔)"
서울,762,광나루역점,"서울 광진구 천호대로 808, 광장12차현대홈타운 1202동 지하1층 105호"
서울,706,후암시장점,"서울 용산구 후암로 48, 1층 제6호"
서울,431,서울숲코오롱1차점,"서울특별시 성동구 성수일로4길 25, 1층 111호(성수동2가, 서울숲코오롱디지털타워)"
서울,922,건대레이크홀점,"능동로 120, 건국대학교 레이크홀 1층 일부"
서울,629,남산트윈시티타워점,"서울특별시 용산구 한강대로 366, 지하1층 108호(동자동, 트윈시티 남산)"
서울,195,성수AK밸리점,"서울특별시 성동구 연무장길 76, 1층 103호(성수동2가 성수 AK 밸리)"
서울,1024,성수서울숲ITCT점,"성수일로 10, 서울숲ITCT지식산업센터 1층 102호 일부"
서울,950,건대스타시티점,"능동로 110, 스타시티영존 1층 F107호"
서울,960,서울숲한라시그마밸리1차점,"성수이로 51, 서울숲한라시그마밸리1차 1층 104-A호"
서울,269,고덕자이점,"서울특별시 강동구 상일로 55, 상가동 103-1호(상일동, 고덕자이)"
서울,310,신촌점,"서울특별시 서대문구 연세로5길 38, 1층(창천동)"
서울,789,상일동리엔파크점,"상일로 74, 고덕리엔파크3단지 상가2동 1층 101호"
서울,847,연남점,"동교로27길 50, 1층 101호"
서울,841,신촌더피플점,"신촌로12길 4, 1층 101호"
서울,445,홍대경의선숲길점,"서울특별시 마포구 신촌로4길 22-22, 1층(동교동)"
서울,448,마포구청점,"서울특별시 마포구 월드컵로34길 13, 1동 104-2호(성산동, 상암 월드시티)"
서울,973,천호시장점,"구천면로 245, 1층 일부"
서울,985,구의역점,"아차산로 405, 벨라로사오피스텔 1층"
서울,845,홍대본점,"와우산로 149, 1층"
서울,136,자양시장점,"서울특별시 광진구 자양로15길 6, 1층(자양동)"
서울,25,천호점,서울특별시 강동구 올림픽로72길 25(천호동)
서울,748,서강대점,"서울 마포구 백범로 35, 서강대학교 동문회관 1층 1호"
서울,834,서강대후문점,"대흥로 118, 1층"
서울,221,공덕동점,"서울특별시 마포구 마포대로 143, 1층 109호(공덕동, 마포공덕파크팰리스 II)"
서울,321,소담길점,"서울특별시 마포구 마포대로8길 9, 1층 106호(공덕동, 영명빌딩)"
서울,624,공덕효성점,"서울특별시 마포구 마포대로 115-12, 공덕삼성아파트 상가동 1층 103, 104호(공덕동)"
서울,981,강동길동점,"양재대로 1499, 길동역세권청년주택 A동 1층 103호, 104호"
서울,336,남영역점,"서울특별시 용산구 한강대로 259, 1층 108호(갈월동, 고려에이트리움)"
서울,884,마포서교점,"월드컵북로1길 56, 1층"
서울,709,홍대정문점,"서울 마포구 와우산로18길 38, 1층"
서울,118,강동역점,"서울특별시 강동구 천호대로 1089, 지하1층 B31호(천호동, 강동 헤르셔)"
서울,823,강동성심병원점,"진황도로 85, 강동큐브2차 1층 107호"
서울,650,용산더프라임점,"서울특별시 용산구 원효로90길 12, 1층(원효로1가)"
서울,904,홍대잔다리로점,"잔다리로6길 22, 1층 전부"
서울,140,망원역점,"서울특별시 마포구 동교로9길 37, 1층(망원동)"
서울,692,한남순천향병원점,"서울 용산구 대사관로 66, 1층"
서울,585,공덕오거리점,"서울특별시 마포구 새창로 13, 1층(도화동)"
서울,831,효창공원앞역점,"백범로 313, 용산롯데캐슬센터포레아파트 지하3층 115호"
서울,370,이태원동점,"서울특별시 용산구 보광로59길 9, 1층(이태원동)"
서울,418,성내점,"서울특별시 강동구 풍성로 95, 1층 101호(성내동)"
서울,542,합정역해링턴타워점,"서울특별시 마포구 양화로 72, 1층 123호(서교동, 서교동 효성 해링턴 타워)"
서울,714,마포용강점,"서울 마포구 토정로31길 49, 1층"
서울,257,마포트라팰리스점,"서울특별시 마포구 마포대로 53, 1층 120호(도화동, 마포트라팰리스)"
서울,324,메세나폴리스점,"서울특별시 마포구 양화로 45, 몰동 지1층 B181호(서교동, 메세나폴리스)"
서울,715,상수역점,"서울 마포구 와우산로 39, 1층"
서울,471,용산구청점,"서울특별시 용산구 녹사평대로32길 51, 지1층(이태원동)"
서울,593,강동구청점,"서울특별시 강동구 성내로3가길 27, 1층 101호(성내동, 성내 퍼스트초이스)"
서울,948,용산용문시장점,효창원로42길 16. 1층 일부
서울,647,압구정역점,"서울특별시 강남구 압구정로30길 12, 지상1층(신사동)"
서울,295,둔촌동점,"서울특별시 강동구 양재대로102가길, 7 1층(둔촌동)"
서울,746,청담점,"서울 강남구 압구정로79길 38, 데오빌로 1층"
서울,768,마포도화점,"서울 마포구 마포대로4길 18, 1층"
서울,927,용산국방부점,"한강대로62다길 35, 1층 102호"
서울,742,용산원효점,"서울 용산구 원효로 139-1, 1층"
서울,1025,압구정유림아트홀점,"압구정로28길 49, 유림아트홀 1층 103호"
서울,194,신용산점,"서울특별시 용산구 새창로 217, 1층 제121, 122, 123, 127, 131호(한강로2가, 용산토투밸리)"
서울,1020,둔촌파크포레온5점,"양재대로 1360, 포레온스테이션5 지하1층 B111호 일부"
서울,141,신사압구정점,"도산대로25길 36, 1층 101호"
서울,1000,논현언주로점,"언주로150길 24, 1층"
서울,390,잠실나루역점,"서울특별시 송파구 올림픽로37길 130 A상가동 1층 162호(신천동, 파크리오)"
서울,947,용산아스테리움점,"한강대로30길25, 아스테리움용산 지하1층 20호"
서울,51,장미상가점,"서울특별시 송파구 올림픽로35길 124, 에이상가 2동 1층 102호(신천동, 장미아파트)"
서울,250,용산푸르지오써밋점,"서울특별시 용산구 한강대로 69, 상가동 1층 104-2호(한강로2가, 용산푸르지오써밋)"
서울,653,가양양천초점,"서울특별시 강서구 양천로 49길 39, 1층 1호(가양동)"
서울,955,용산센트럴파크점,"한강로2가 204, 용산호반써밋에이디션 1층 112호"
서울,805,신사가로수길점,"도산대로 139, 제이타워 B동 지하1층 2호"
서울,214,증미한화점,"서울특별시 강서구 양천로 551-24, 102호(가양동, 한화비즈메트로2차)"
서울,31,한강자이타워점,"서울특별시 강서구 양천로 401, A동 1층 116호(가양동, 강서한강자이타워)"
서울,908,논현중앙점,"학동로33길 40, B1층 전부"
서울,301,신사동점,"서울특별시 강남구 강남대로156길 8, 1층 103호(신사동)"
서울,50,우림블루나인점,"서울특별시 강서구 양천로 583, 1층 112호(염창동, 우림블루나인비즈니스센터)"
서울,485,강남구청점,"서울특별시 강남구 선릉로129길 11, 101호(논현동)"
서울,881,강서더리브골드타워점,"양천로 400-12, 더리브골드타워 1층 106호"
서울,455,봉은사역점,"서울특별시 강남구 영동대로112길 9, 지상1층 3호(삼성동)"
서울,494,신사점,"서울특별시 강남구 도산대로8길 5, 1층(논현동)"
서울,238,가양스카이밸리점,"서울특별시 강서구 화곡로 416, 1층 138호(등촌동, 가양역 더스카이밸리5차 지식산업센터)"
서울,970,마곡뉴브클라우드힐스점,"마곡중앙8로1길 81, 뉴브클라우드힐스 BT동 1층 110호"
서울,533,증미역NH서울타워점,"서울특별시 강서구 양천로 570, 1층 114호(등촌동, NH서울축산농협NH서울타워)"
서울,944,용산유플러스점,"한강대로14가길 24, 1층"
서울,561,강서IT밸리점,"서울특별시 강서구 화곡로68길 82,1층 111호(등촌동, 강서아이티밸리)"
서울,443,몽촌토성역점,"서울특별시 송파구 위례성대로2길 8, 1층 109,110호(방이동, 새천년잠실헤리츠오피스텔)"
서울,235,양천향교역점,"서울특별시 강서구 강서로 455, 101동 1층 117호(마곡동, 마곡경동미르웰)"
서울,512,루터회관점,"서울특별시 송파구 올림픽로35다길 42, 1층 101호(신천동, 루터회관)"
서울,704,학동역사거리점,"서울 강남구 논현로131길 12, B1층"
서울,211,잠실지하상가점,"서울특별시 송파구 송파대로 567, B동 15호(잠실동, 잠실역지하도상가)"
서울,353,방이점,"서울특별시 송파구 올림픽로30길 9, 1층 108호(방이동, 엘루이시티)"
서울,808,삼성중앙역점,"봉은사로 471, 힐스테이트2단지 상가1층 102호"
서울,673,학동점,"서울시 강남구 언주로 125길 8, 지상1층 104호"
서울,465,염창역점,"서울특별시 강서구 공항대로 637, 상가동 1층 101호(염창동, 염창현대아이파크아파트)"
서울,756,잠실엘스점,"서울 송파구 올림픽로 119, 잠실파인애플상가 1층 40호"
서울,765,방이2호점,"서울 송파구 오금로13길 3-11, 한길빌딩 1층 104호"
서울,676,여의도공원점,"서울시 영등포구 은행로 60-1, 1층 111호"
서울,377,선유도코오롱타워점,"서울특별시 영등포구 양평로22길 21, 1층 A107호(양평동5가, 선유도 코오롱디지털타워)"
서울,460,잠실리센츠점,"서울특별시 송파구 올림픽로 145, 상가동 1층 1에이91호(잠실동, 리센츠)"
서울,251,봉은사로선정릉점,"서울특별시 강남구 봉은사로 438, 지상1층(삼성동, 몽베르빌딩)"
서울,577,잠실종합운동장점,"서울특별시 송파구 올림픽로8길 4-11, 1층 101호(잠실동, 잠실 포레디움)"
서울,731,삼성로점,"서울 강남구 삼성로 549, 정화빌딩 1층 102호"
서울,587,서여의도점,"서울특별시 영등포구 국회대로76길 18, 1층 4호(여의도동, 오성빌딩)"
서울,344,삼성역현대GBC점,"서울특별시 강남구 테헤란로107길 11, 지상 1층 103호(삼성동, 성보타운)"
서울,664,마곡호서대점,"서울 강서구 강서로56가길 53, 1층"
서울,589,잠실트리지움점,"서울특별시 송파구 석촌호수로 61, 1층 146호(잠실동, 트리지움)"
서울,750,선정릉역1번출구점,"서울 강남구 봉은사로51길 5, 1층 A03호"
서울,453,논현아이파크점,"서울특별시 강남구 언주로 615, 103동 지하1층 B122호(논현동, 논현아이파크)"
서울,185,마곡나루점,"서울특별시 강서구 마곡중앙5로1길 20, 1층 111호(마곡동, 마곡나루역보타닉비즈타워)"
서울,954,여의도에클라트점,"국회대로 780, LG여의도에클라트 1층 116호"
서울,88,등촌역점,"서울특별시 양천구 목동중앙북로7가길 4, 1층 4호(목동, 정목빌딩2)"
서울,308,논현역점,"서울특별시 강남구 학동로2길 6, 1층 104호(논현동)"
서울,854,당산양화대교남단점,"선유로54길 14, 소미더클래스한강 102동 1층 103호"
서울,912,선유도우림라이온스점,"양평로 149, 우림라이온스밸리A 1층 103호"
서울,598,잠원논현역점,"서울특별시 서초구 신반포로47길 9-21, 101호(잠원동, 원진빌딩)"
서울,839,마곡파인스퀘어3차점,"마곡중앙8로5길 11, 마곡파인스퀘어3차 1층 107호"
서울,82,여의도점,"서울특별시 영등포구 국회대로 70길 22, 104(여의도동)"
서울,274,삼성도심공항점,"서울특별시 강남구 테헤란로87길 17, 지상1층 105-1호(삼성동 마젤란 21 아스테리움)"
서울,1017,삼성역점,"테헤란로108길 12, 하나빌딩 1층"
서울,258,우장산롯데캐슬점,"서울특별시 강서구 공항대로 382, 제상가동 제1층 제106호(화곡동, 우장산롯데캐슬아파트)"
서울,298,마곡두산더랜드타워점,"서울특별시 강서구 마곡서로 152, 에이동 105호(마곡동, 두산더랜드타워)"
서울,229,파크원타워1점,서울특별시 영등포구 여의대로 108 여의도파크원타워 타워1 2층
서울,990,선유도역점,"선유로49길 23, 선유도역2차아이에스비즈타워 1층 101호,102-1호"
서울,1036,여의도산정빌딩점,"국회대로66길 23, 산정빌딩 1층 103호"
서울,883,약진통상점,"위례성대로 132, 1층 일부"
서울,974,선정릉점,"삼성로 517, 채널리저브 1층 103호"
서울,644,선유도ISBIZ1차점,"서울특별시 영등포구 양평로21길 26, 1층 101호(양평동5가, 선유도역1차아이에스비즈타워)"
서울,132,삼성역현대백화점사옥점,"서울특별시 강남구 영동대로85길 20, 지상1층 102호(대치동)"
서울,212,당산이레빌딩점,"서울특별시 영등포구 선유동2로 57, 1층(양평동4가, 이레빌딩)"
서울,557,여의도IFC몰점,"서울특별시 영등포구 국제금융로 10, B2층 일부호(여의도동,서울 국제금융 센터) 무빙워크"
서울,855,언주역점,"봉은사로30길 11, 1층 102호"
서울,689,서울강서경찰서점,"서울 강서구 화곡로 318, 1층"
서울,57,포스코사거리점,"서울특별시 강남구 테헤란로84길 16, 지상1층(대치동)"
서울,724,당산삼성타운점,"서울 영등포구 당산로44길 3, 삼성타운 1층 111호 전면부"
서울,581,여의도스카우트빌딩점,"서울특별시 영등포구 국회대로62길 14, 1층 102호(여의도동, 한국보이스카우트연맹회관)"
서울,311,선릉성원빌딩앞점,"서울특별시 강남구 선릉로94길 3, 1층(삼성동)"
서울,80,여의도KBS본관점,"서울특별시 영등포구 의사당대로 38, 102동 1층 125호(여의도동, 여의도더샵아일랜드파크)"
서울,711,역삼FnF점,"서울 강남구 테헤란로39길 55, 1층"
서울,385,목동1단지점,"서울특별시 양천구 목동서로 38, 상가비동 1층 101(5)호(목동, 목동신시가지아파트1단지)"
서울,616,에이스타워마곡점,"서울특별시 강서구 공항대로 237, 1층 119호(마곡동, 에이스타워 마곡)"
서울,1030,마곡나루역5번출구점,"마곡중앙로 111, 롯데캐슬르웨스트 104동 1층 163호"
서울,620,선릉대치점,"서울특별시 강남구 선릉로90길 56, 지상1층 102호(대치동, 대치동 대우아이빌명문가)"
서울,513,여의도증권가점,"서울특별시 영등포구 국제금융로2길 36, 1층(여의도동, 유화증권빌딩)"
서울,207,포스코센터점,"서울특별시 강남구 삼성로85길 11, 생활편익시설동 지하1층 B11호(대치동, 롯데캐슬아파트)"
서울,1021,위더스논현점,"강남대로112길 25, 위더스빌딩 1층"
서울,930,마곡이너매스점,"마곡중앙6로 21, 이너매스마곡 1층 110호"
서울,138,여의도라이프점,"서울특별시 영등포구 63로 40, 지하1층 22,23호(여의도동)"
서울,837,논현반포점,"강남대로83길 21, 1층"
서울,946,신방화역점,"마곡중앙5로 87, 우성르보아2차 1층 121호"
서울,570,마곡보타닉파크타워2차점,"서울특별시 강서구 공항대로 213, 1층 107호(마곡동, 보타닉파크타워2)"
서울,307,선릉역점,"서울특별시 강남구 테헤란로64길 9, 지하1층 101호(대치동, 선릉역대우아이빌)"
서울,1005,여의도부국증권점,"국제금융로6길 17, 부국증권빌딩 지하 1층 116호"
서울,205,여의도미원빌딩점,"서울특별시 영등포구 국제금융로 70, 1층 114호(여의도동, 미원빌딩)"
서울,474,휘문고교점,"서울특별시 강남구 역삼로 538, 지상1층 104호(대치동, 블루스카이보습학원)"
서울,35,당산중앙점,"서울특별시 영등포구 당산로 175, 상가동 1층 104호(당산동4가. 당산동 삼익플라주아파트)"
서울,360,개화산역점,"서울특별시 강서구 양천로 19, 1층 101호(방화동, 라테라스)"
서울,1009,선릉로켓점,"선릉로89길 9, 1층"
서울,817,당산하늘점,"버드나루로 88, 인따르시아 사옥 1층 102호"
서울,776,영등포한양아이클래스점,"서울 영등포구 영신로 228-6, 영등포한양아이클래스 1층 107호"
서울,304,양평동3가점,"서울특별시 영등포구 선유로40길 12, 1층(양평동3가)"
서울,93,마곡그랑트윈타워점,"서울특별시 강서구 마곡중앙4로 18, 1층 105호(마곡동)"
서울,800,KBS별관점,"여의대방로 375, 1층 105호"
서울,109,제일KCC점,"서울특별시 서초구 주흥길 3, 104호(반포동, 시범빌딩)"
서울,188,영등포리마크빌점,"서울특별시 영등포구 영중로 109, 1층(영등포동8가)"
서울,375,여의도역점,"서울특별시 영등포구 의사당대로 108, 상가동 1층 118호(여의도동, 아일렉스)"
서울,457,샛강역점,"서울특별시 영등포구 의사당대로1길 11, 1층 107호(여의도동, 메종리브르오피스텔)"
서울,686,역삼역한라빌딩점,"서울 강남구 테헤란로25길 30, 1층"
서울,359,테헤란로중앙점,"서울특별시 강남구 언주로 432-10, 1층 101호(역삼동, 역삼오피스텔)"
